text,task_1,task_2
"क्या क्या नहीं फेंकता है ये फेंकू कभी कालाधन लाएंगे , कभी सुपर पावर बनाएंगे, कभी चप्पल वाले हवाई जहाज से उड़ेंगे, सारे के सारे झूठे और बेबूनियादी नारे मगर शर्म आती नहीं। #ResignModi",HOF,OFFN
"@ThePushpendra_ @narendramodi @AmitShah इतनी मासूम लाचारियां हैं सियासत की जहां बोलना चाहिए, वहां भी बोलते नहीं जो पूछता नहीं और खूरेंजी पर उतारू है, उनकी खुशामद के  लिए  राह में  बिछे हैं जिसने जानपर खेलकर सरमाथे  बिठाया,  उनके कत्लेआम पर एक ट्वीट भी नहीं है  #BengalBurning",NOT,NONE
@ActivistVed जो अपने सबसे वफादार नेता का नहीं हुआ वो कुर्सी लगाने वाले चमचों का खाक होगा #JusticeForShahabuddin,HOF,HATE
बहुत अत्याचार हो रहा है इन लोगों के ऊपर  हे प्रभु रक्षा करना इन लोगों की हालत देखकर मैं भी आज बहुत रो रही हूं पूरा देश रो रहा है😥😥😥😥 क्या यही था हिंदुओं की रक्षा करने का संकल्प @BJP4India  #BengalViolence  #BengalBurning  #CruelMamata https://t.co/E86iTLf98y,NOT,NONE
@TeamSaath @DasnaMandir_ @TwitterSpaces @Twitter @NarsinghUvach कांग्रेसी कुत्तो को  अपने बापो के खिलाफ सुन्ना पसन्द नही है।  विदेशी कुतिया के गुलाम बन चुके है ये हरामजादे,HOF,PRFN
"कोरोना संकट में भारत के साथ दोस्ती निभा रहा रूस, महामारी से लड़ने के लिए भेज रहा Sputnik-V की दूसरी खेप #COVID19 #Russia #SputnikV #CovidVaccine #Indianewslive @KremlinRussia_E @PMOIndia @MoHFW_INDIA @RanaYashwant1 @Inkhabar @IndiaNews_itv https://t.co/smiVOykHDd",NOT,NONE
"@sk_traza98 #ModiResign  #ModiKaVaccineJumla अनगिनत हत्याओं के जुर्म में #आजीवनजेल_जाएगा_तो_मोदी_ही  #आजीवनजेल_जाएगा_तो_मोदी_ही  #आजीवनजेल_जाएगा_तो_मोदी_ही  #आजीवनजेल_जाएगा_तो_मोदी_ही  #आजीवनजेल_जाएगा_तो_मोदी_ही  #आजीवनजेल_जाएगा_तो_मोदी_ही  यकीनन यदि परिजनों में बुजदिली, कायरता न हो",HOF,OFFN
जीते जी तो डरते ही थे मरने के बाद भी डर साफ साफ दिख रहा है। #बेटा_ओसामा  #JusticeForShahabuddin https://t.co/S2aBCcDgmS,NOT,NONE
"अब तुम तो हुए परदेसी, के तेरा यहां कोई नहीं!   *एक नारी सब पे भारी*  #BangalElection2021 #TMC200Paar #MamataBanerjee #ElectionResult #Election2021 #AssemblyElections2021 #Assam #DMKwinsTN #COVID19 #Assam #ResignPMmodi #नरेंद्र_मोदी_ग्लोबल_पप्पू_है #KhelaHobe #OxygenEmergency",NOT,NONE
"Thanks God;सऊदी से आए टैंकर सही सलामत सऊदी पहुँच गए,नही तो ""Mr बेचू"" उसका भी सौदा कर देता #OxygenShortage #OxygenBeds #ModiKaVaccineJumla #ModiOxygenDo #ModiHataoDeshBachao #ModiSarkarHiSystemHai",HOF,OFFN
"#SpinelessBJP #KanganaVsTwitter #BengalBurning   पता नहीं  कोन सा नशा करती है, नई नई जिस्मो का माज़ा करती है https://t.co/NjbSqnZMjk",HOF,OFFN
"तूम भाजपा की राखी सावंत से बढ़कर कुछ नही हो, उत्त 😡 #ModiKaVaccineJumla #ModiResignOrRepeal https://t.co/oKRkqXa5YN",HOF,OFFN
"देश के अमीर, कोरोना से बचने के लिए, प्राइवेट जेट से देश छोड़ कर भाग रहे हैं #AdarPoonawalla #COVID19 #ResignModi #ModiKaVaccineJumla",NOT,NONE
"ये बंगाल की CM ममता बनर्जी नही है,ये Terror की आका डायन है👹जो बंगाल मे TMC पार्टी के आतंकवादी जिहादीयोंसे बलात्कार,खुन,खराबा बंमबारी कराती है  #TMCTerror #TMCGoons #BengalBurning #BengalViolence #MamtaisTerrorist #ArrestMamta #ShameOnDiaonMamta #ShameOnTerroristMamtaBanerjee https://t.co/oBuvsqjmbz",HOF,OFFN
🤣🤣 अनार्ष बाबा ने अनार्ष ज्ञान पुनः बखेड़ दिया।  जड़बुद्धि वाले लोग बुद्धि की बात आखिर कहां से करे? जड़ पूजते-पूजते बुद्धि जड़ जो हो चली है। https://t.co/fdOa7DNfCP,NOT,NONE
@Pandey_Aaditi बिलकुल सही कहा है । #नींद_से_जागो_अमित_शाह_जी  #PresidentsRuleinBengal  #BengalBurning  #BengalViolence,NOT,NONE
"अलविदा शेर-ए-बिहार…  अल्लाह आपकी मग़फ़िरत फरमाए, आपको जन्नतुल फिरदौस में आला मकाम अता फरमाए और घर वालो को सब्र जमील अता फरमाए. 🤲 #JusticeForShahabuddin https://t.co/C3ud3HYBbJ",NOT,NONE
एक (थी) है डायन! #BengalBurning #PresidentRuleInBengal,HOF,OFFN
@BBCChindhi मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,NONE
"हम जिन लोगो से उम्मीद कर रहे है बंगाल में कुछ करेंगे वो ,बंगाल के Violence video ""Shame"" लिखकर डाल रहे है...😡  बंगाल के स्थानीय नेता,जनता अपनी जान की भीख मांग रहे है,कुछ करिये साहब..  सिर्फ आप से उम्मीद है साहेब .@narendramodi   #BengalViolence  #BengalBurning https://t.co/K9QFt48Zve",NOT,NONE
@ANI ONCE IN A CENTURY @narendramodi @PMOIndia  मनहुस मोदी का साया मेरे देश के ऊपर से हट जाए  आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है  #ResignModi मानवता केलिऐ #Resign_PM_Modi देशभक्त हो तो,HOF,OFFN
@brajeshlive यार कैसे मूर्ख आदमी हो तुम इस तरह का ट्वीट करने से पहले क्या साक्ष्य है तुम्हारे पास क्या सबूत है जो उन्हें ट्रक में कीड़े मकोड़ों की तरह फेंक दिया गया बकायदा एंबुलेंस से उन्हें अस्पताल पहुंचाया गया है और उनका इलाज भी हुआ है जो बच गए थे ना कि तुम्हारे ट्वीट की तरह,HOF,OFFN
"@yadavtejashwi भीख मांगने गए थे क्या? पूरा दिल्ली जाम हो जाता उनके बॉडी के लिए,सही से कोशिश ही नहीं कि गई, #JusticeForShahabuddin https://t.co/8KGOJmg1vl",HOF,HATE
जब तुम पैजामा पहनना सीखे भी नही थे न तब साहब ने तुम्हारी माँ को ताज पहनाया था भूल गए @yadavtejashwi  #JusticeForShahabuddin  #BycottRJD,NOT,NONE
जिन्दगी में जब कोई झुका न सका तो धोखे से साँसे ही छीन ली !! #JusticeForShahabuddin,NOT,NONE
वो वामपंथी पत्रकार कहां हैं? जो कोरोना से हुई मौत की जलती चिताओं का लाइव प्रसारण करने के लिए शमशान को ही अपना घर बना लिए थे वो अपना कैमरा बंगाल ले जाकर हिंदुओं के जलते घर क्यों नही दिखा रहे हैं? TMC के गुंडों से डर लगता है या ममता ने मुँह में हड्डी ठूंस दिया है? #BengalBurning,HOF,HATE
@ShayarImran @yadavakhilesh आज़म खान साहब का इलाज AIIMS में कराया जाए… शहाबुद्दीन साहब की तरह उन्हें सिस्टम भरोसे नही छोड़ सकते😢🙏 #JusticeForShahabuddin,NOT,NONE
@Naseeruddin_sah #JusticeForShahabuddin  #JusticeForShahabuddin #JusticeForShahabuddin #JusticeForShahabuddin  जो इस साजिश था उसे कभी माफ नही किया  जाएगा चाहे कोई भी हो,NOT,NONE
कोरोना संकट को लेकर IPL के सभी मैच सस्पेंड  @SGanguly99 @IPL @BCCI   #IndiaCovidCrisis #IPL2021 https://t.co/2VB12YgVUX,NOT,NONE
"अपने तड़पकर मर रहे हैं, न अस्पताल है न ऑक्सीजन, क्योंकि सरकार घमंड में है : रवीश कुमार #ResignModi  #spinelessmodi https://t.co/fVF7Yibj1x",NOT,NONE
आज़म खान साहब का इलाज AIIMS में कराया जाए… शहाबुद्दीन साहब की तरह उन्हें सिस्टम भरोसे नही छोड़ सकते😢🙏 #JusticeForShahabuddin,NOT,NONE
@RiteshS71225369 🤨🤔😜ये तो कुतीया लग रही है 🤪,HOF,PRFN
"गैंगरेप भी जायज है इस देश मे बस पीड़िता बीजेपी की मेंबर होनी चाहिये, शर्मनाक सेकुलर बुद्धिजीवी गैंगरेप पर चरस पीकर सोये है!! #BengalBurning",HOF,HATE
ट्वीटर पे फर्जी ओसामा साहब की लाईन लगी हुई है कुछ भी हो ये कमज़र्फ लोग आपदा को अवसर में बदलने से नही चूकते घिन्न आती है ऐसे लोगों पर जो किसी के जज्बातों से इसलिये खिलवाड़ करते है कि उन्हें उस नाम से ज्यादा फॉलोवर मिल जायेंगे शर्म से डूब मरिये। #JusticeForShahabuddin,NOT,NONE
"लोगों ने कहा ""यहाँ उधार नहीं चलता"", तो ये उधार कैसे नहीं पूरा होता भला? Nature retaliating with its best!😷 . Next time, DO NOT UNDERESTIMATE ANYONE; not even nature. #IndiaCovidCrisis #IndiaFightsCorona #IndiaNeedsOxygen https://t.co/Rb4eZe6pBs",NOT,NONE
आज यह बात साफ साफ साबित हो गया की RJD ने मुसलमानों को Vote Bank लेने के लिए इस्तेमाल किया  #Bycutt RJD #justiceforShahabuddin,NOT,NONE
#OPS #BanEVM #पुरानी_पेंशन_बहाल_करो #FarmersProtest #SpeakUpForFarmers #StopPrivatization #ModiMadeDisaster #NPS_भारत_छोड़ो #NPS_QUIT_INDIA #NPSनिजीकरणभारतछोड़ो #OPS_कर्मचारी_का_अधिकार #NPSनिजीकरणकेख़िलाफ़_इंक़लाब #स्वास्थ्य_क्षेत्र_मे_बजट_बढ़ाओ #Resign_PM_Modi #COVID19India https://t.co/zsiNaCUqQi,NOT,NONE
मोदी देश छोड़ो  #ResignPMmodi #ModiKaVaccineJumla #ModiResign,NOT,NONE
"शुक्रिया इमरान प्रताप गढ़ी साहेब शुक्रिया अमनातुल्लह साहेब ,, इस दुख की घड़ी में ओसामा शहाब का साथ देने के लिए साथ खड़े होने के लिए,,उन लोगों का भी  बहुत शुक्रिया जो दिल्ली में बाबू के साथ खड़े हुए,,सीवान इस बात को याद रखेगा,, आज हिना साहब ने चुप्पी तोड़ी #JusticeForShahabuddin",NOT,NONE
Boycott 5G data network  #किसानों_का_मोदी_को_धोबीपटका #KindAttnPMNarendraModi #SiaCoinToDollar  #FarmersProtest #KisanMazdoorEktaZindabaad #NoFarmersNoFood  #Resign_PM_Modi  #ResignModi  #ਕਿਸ਼ਾਨ_ਮਜਦੂਰ_ਏਕਤਾ_ਜਿੰਦਾਬਾਦ   @BBCAsia https://t.co/aXqTcj4QHS,NOT,NONE
"@AkhtarH18713098 @DChaurasia2312 अम्मी से पूछा नाद किसने खोला था? साले कनवर्टेड गन्दु टाइप के हरामी हिन्दू ही थे तुम्हारे बाप दादा, अंडरवियर क्या टट्टी तक साफ करी तुम लोगो ने मुघलो की😄😄😄",HOF,PRFN
जो शहाबुद्दीन के साथ हैं वो इस ट्वीट को रीट्वीट करें और इस हैसटैग पर ट्वीट करें #JusticeForShahabuddin,NOT,NONE
इस बार साहब का विकास सिर्फ अपने देश ने ही नही विदेशियों ने भी देख लिया.. #ModiKaVaccineJumla #ResignModi https://t.co/cHJkWF6BzM,NOT,NONE
@Bina_Singh2 @AjitKanasagra @DelhiPolice इस कुत्ते की ऐसी ठुकाई होनी चाहिए कि यह साला सूअर का पिल्ला दोबारा ऐसी गलती मत करें,HOF,OFFN
"यदि बंगाल में महिला कार्यकर्ताओं के गैंग रेप पर हम चुप हैं तो ऑक्सीजन लेवल चेक करने की कोई आवश्यकता नहीं है , हम मर ही चुके हैं ।   #PresidentRuleInBengal #BengalBurning",NOT,NONE
"@kunalkamra88 Bsdk, He was addressing the whole nation and you are calling every indian a bitch? This also includes you कुतिया के बच्चे I",HOF,PRFN
"अबकी बार किसानो की सरकार क्या कहते हो सब?  अब जरूरत हैं जागरूक होने की एक ऐसा नेता जो सिर्फ देश के लिए सोचे गरीबी, लाचारी, बेबसी, बीमारी के लिए सोचे। पूर्व पी एम चौधरी चरण सिंह जी जैसा नेता जो किसानो का हितेषी हो। #Resign_PM_Modi #किसानो_पर_FIR_मत_करो #कृषि_कानून_रद्द_करने_पड़ेंग https://t.co/wpssjpwW1K",NOT,NONE
@SitaSorenMLA Trending now. #नरेंद्र_मोदी_ग्लोबल_पप्पू_है  #मोदी_भगाओ_देश_बचाओ  #मोदी_इस्तीफा_दो  #ResignModi  #ModiMustResign,NOT,NONE
"अलविदा शेर-ए-बिहार… अल्लाह आपकी मग़फ़िरत फरमाए, आपको जन्नतुल फिरदौस में आला मकाम अता फरमाए और अहले खाना को सब्र जमील अता फरमाए. ..  #JusticeForShahabuddin https://t.co/qOUFXpUJqP",NOT,NONE
@anamikaa_143 देखना महाराज की तरह यह भी बीजेपी का कुत्ता बनकर रह जाएगा,HOF,OFFN
#देश_ऑक्सीजन_मांगता_है Don’t be afraid to give up the good to go for the great.......  #देश_ऑक्सीजन_मांगता_है #ResignModi https://t.co/iZPzIWGkcm,NOT,NONE
जनता मरे तो मरे पर केजरीवाल बदनाम होना चाहिए कुछ तो शर्म करो मोदी सरकार  #ResignPMmodi https://t.co/yNn1Yj0xqi,HOF,HATE
"ये बंगाल की CM ममता बनर्जी नही है,ये Terror की आका डायन है👹जो बंगाल मे TMC पार्टी के आतंकवादी जिहादीयोंसे बलात्कार,खुन,खराबा बंमबारी कराती है  #TMCTerror #TMCGoons #BengalBurning #BengalViolence #MamtaisTerrorist #ArrestMamta #ShameOnDiaonMamta #ShameOnTerroristMamtaBanerjee https://t.co/c0rsC82khH",HOF,OFFN
"@TheAbhishek_IND इतनी मासूम लाचारियां हैं सियासत की जहां बोलना चाहिए वहां भी बोलते नहीं जो खूरेंजी पर उतारू हैं, उनकी आगवानी में बिछे हैं जो पलकों पर बिठाए बैठा, उन्हें पूछते नहीं  #BengalBurning",NOT,NONE
@Robert_NSUI @sarcasticbro89 मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,NONE
@bishnurijal1 अनि दोषि को को हुन त कामरेड:  दुई तिहाइ भोट हाल्ने जनता ब्यवस्था  कार्यकर्ता नेता लाई लगानी गर्ने ब्यापारि दलाल कर्मचारि पत्रकार मझौला नेता ठुला नेता शिर्स नेता बिदेशि,NOT,NONE
"शुक्रिया…""यादव परिवार""… एक बार और साबित करने के लिए कि ""कुफ़्फ़ार-ला-ऐतबार"" #shahabuddinsaheb  #JusticeForShahabuddin",NOT,NONE
"तुम्हारा जुल्म काफी है हमें बेदार करने को, जो लोहा चोट खाता है वही तलवार बनता है। #एक_बनो_नेक_बनो  #JusticeForShahabuddin #",HOF,OFFN
"@sny_super शहाबुद्दीन की जगह लालू यादव के साथ ये घटना"" हुई होती तो ससम्मान अंतिम संस्कार के लिए मुसलमान हॉस्पिटल में छलांग लगा दिए होते एक बच्चा (ओसामा) अपने पिता का ससम्मान अंतिम संस्कार के लिए कोर्ट से हॉस्पिटल तक दर दर भटक रहा… और लालू परिवार तमाशा देख रहा 🤐 #JusticeForShahabuddin",HOF,HATE
बिहार के मुसलमानों  #Sahabuddin के साथ-साथ आरजेडी की राजनीति को भी दफन कर देना #Sahab को अल्लाह ताला जन्नत नसीब फरमाए 😥😥 #Justiceforshahabuddin #Justiceforshahabuddin https://t.co/IpFh8UGVgP https://t.co/lRxkr91zu5,HOF,HATE
बताओ यह भी दिन आ गए...... #JusticeForShahabuddin,NOT,NONE
"डियर मीडिया अगर आप समझते हो कि झूठी रिपोर्ट दिखाकर, झूठी खबरें दिखाकर, सच्चाई छुपाकर आप देश को भ्रमित कर सकते हैं तो आप बेवकूफ़ हो सच्चाई यही है कि मोदी एक निकम्मा प्रधानमंत्री है #Resign_PM_Modi #मोदी_इस्तीफा_दो",HOF,OFFN
लोग मर रहे हैं साहब क्या इस वक़्त भी महल ज़्यादा ज़रूरी है…? #69000_अगली_सूची_दो_सरकार #ResignModi #ModiHataoDeshBachao #ModiMadeDisaster #ModiResign @BramhRakshas @NiranjanTripa16 @AcharyaPramodk @abhisar_sharma @kunalkamra88 #Congress @brajeshlive @PragyaLive @ravishndtv htt,HOF,OFFN
"कोरोना से बचना है तो दो गज की दूरी मास्क है जरूरी, घर से अनावश्यक बाहर ना निकले। #COVID19 #CovidVaccine #NationalTV https://t.co/E1kSUNwCpX",NOT,NONE
@RahulGandhi @srivatsayb #MautKaSaudagar #Bjplooted  #ModiHataoDeshBachao #SuitBootKiCorruptSarkar #ModiMustResign #ModiKaVaccineJumla Modi hai Toh Barbadi hai  बोहोती भयावह डरावनी स्तिथि होता जा रहा है बिदेश जो आक्सीजन राहत सामग्री आया उसका क्या हुआ @POTUS @VP @hrw... https://t.co/u4l8Qwwaxp,NOT,NONE
वर्तमान दौर में अगर आप ज़िंदा है तो यही आपकी सबसे बड़ी उपलब्धि है।  #IndiaCovidCrisis #IndianLivesMatter,NOT,NONE
"@BJP4India @narendramodi अब तो, अपने चुनावी भाषण में श्मशान की बात करने वाले से कहकर, वोही बनवा दो कम से कम   लाशों की यू लाईन तो ना लगेगी😡  #पीएम_पनौती #ModiFailsIndia #श्मशान_मंत्री_मोदी #MautKaSaudagar #ModiFuelScam #FarmersProtests #ModiResign #Resign_PM_Modi  #Covid #बंदर_के_हाथ_उस्तरा",HOF,OFFN
जीना है तो शहाबुद्दीन की तरह जिओ: जिसका भी साथ दो  खुलेआम दो: बिरोधी कहलाओगे गद्दार नही!! #JusticeForShahabuddin,NOT,NONE
हमारा क्या है झोला उठा कर चल पड़ेंगे। लगता है इन्हें और भाजपा वालों को छोढ़ कर बाक़ी पूरे देश का झोला उठाने का समय आ ही गया है #ModiMadeDisaster #ModiResign #ModiKaVaccineJumla #COVID19India  https://t.co/PvaITJpPZN,NOT,NONE
"@AmitShah @BJP4UP मोदी और शाह:- चाहे सेना बुलाओ, चाहे राष्ट्रपति शाशन लगाओ लेकिन खड़ा लट्ठ बजाओ, गोली चलानी है गोली चलाओ.. लेकिन बंगाल के लोगों को जेहादी गुंडो से बचाओ ..  #BengalViolence #BengalBurning",NOT,NONE
लालू यादव तेजस्वी यादव और आरजेडी के खिलाफ मरहूम सांसद शहाबुद्दीन साहब के परिवार से किसी ने कोई ब्यान दिया है फर्जी आईडी को छोड़कर प्लीज मुझें भी बताये । #JusticeForShahabuddin,NOT,NONE
"@narendramodi_in @narendramodi @AmitShah @AmitShahOffice @BJP4India हमने गुजरात वाले लीडर चुने थे,  विकास करना अच्छी बात है, पर इस विकास को देखेने के लिये जिंदा रहना होगा?  #BengalBurning  @KapilMishra_IND  @RSSorg @VHPDigital @vinod_bansal @hindurakshasena @prabodhanandji https://t.co/LRBIlCj2Vu",NOT,NONE
"@RaviRanjanIn भाइयों बहनों पैशे खिदमत है, एक और #पप्पूशास्त्र का विद्यार्थी 🤣  On one hand we Indians have to fight against the spread of #ChineseVirus on another Id and curtail spread of #INCorporated #LOLuz:- Creature thrived on freebies / subsides of #Pappuanomics https://t.co/wtdODu0qsy",NOT,NONE
"ये बंगाल की CM ममता बनर्जी नही है,ये Terror की आका डायन है👹जो बंगाल मे TMC पार्टी के आतंकवादी जिहादीयोंसे बलात्कार,खुन,खराबा बंमबारी कराती है  #TMCTerror #TMCGoons #BengalBurning #BengalViolence #MamtaisTerrorist #ArrestMamta #ShameOnDiaonMamta #ShameOnTerroristMamtaBanerjee https://t.co/9VHl3vC0md",HOF,OFFN
अलविदा शेर-ए-बिहार 😭  अल्लाह आपको जन्नतुल फिरदौस में आला मकाम अता फरमाए और अहले खाना को सब्र जमील अता फरमाए. 🤲  #JusticeForShahabuddin,NOT,NONE
@kunalkamra88 मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,NONE
"बंगाल में हो रही हत्या,बलात्कार और लूट की जिम्मेदारी किसकी हैं ?? #CruelMamata #BengalBurning",NOT,NONE
ज़्यादातर अस्पताल में मरीज़ की हत्या हो रही है। लोग मर नहीं रहे मारे जा रहे हैं। ये अकाल मृत्यु नहीं हत्या है #COVID19India #ModiKaVaccineJumla,NOT,NONE
"#शिशुपाल जब #सौ गलती कर हद से आगे बढ़ जाता है, तब छोड़ #अहिंसा  #माधव भी #चक्र उठाते है। बस इतनी सी बात समझ लो साथियों🙏 @narendramodi @AmitShah  #बंगाल_हिंसा #BengalBurning https://t.co/MLS2phl2Tj",NOT,NONE
"ऑटोरिक्शा चालक जावेद खान कहते हैं, ""कोविड-19 का गंभीर मरीज बिना ऑक्सीजन सपोर्ट के अस्पताल नहीं लाया जा सकता है. इसलिए मैंने सोचा ऑटोरिक्शा को एंबुलेंस में क्यों ना बदल डालूं."" #IndiaCovidCrisis #OxygenCrisis   https://t.co/F1snlleyMP",NOT,NONE
"बंगाल में दिन-दहाड़े लुटती दुकान, बाज़ार देखिए....बंगाल की आधी जनता क्या यही चाहती थी ?   #BengalBurning #BengalViolence https://t.co/47hEBIbzbu",NOT,NONE
@Vinay_Dwivedii बदजात उंगली दिखाकर बाप से बात कर रहा है। उसे भी अपने बाप होने पर लज्जा महसूस हो रही होगी। इससे अच्छा तो किसी कुत्ते या सुअर का  पिल्ला पाल लिया होता।,HOF,OFFN
"चित आज सहज नहीं, मन आज व्यथित भी, घात लगाकर हत्या, बलात्कार, आगजनी, कितना न्यायसंगत? उत्तरदायित्व किसका था, किसका नहीं, प्रशासन और राजतंत्र के नाम पर खेली खून की होली। कौन बनेगा आरोपी कौन बनेगा संरक्षक? प्रशन ही स्वयं चिंतित है? @ShivrajKaBhanja @goelgauravbjp  #BengalBurning https://t.co/VQsj9pDcWd",HOF,HATE
#COVID19 #IndiaCovidCrisis #PMCaresFund_का_हिसाब_दो #OxygenCrisis #Resign_PM_Modi #MamtaBanerjee  @AhmadUP63 @ishaninbox @rssurjewala @DrAmrohi @m4mrt @MonikaSinghSays https://t.co/8vby39NwUk,HOF,OFFN
क्या साबुद्दीन का RJD ने लालू जी के बदले  सौदा किया  आपकी क्या राय है #JusticeForShahabuddin,NOT,NONE
@mumbaikkar @Bjp4Parody @Anjana_Modi_ @RoflEpicDon @PapitaFokat @Bol_Do2 @sarcasticbro89 @PurshottamDave @IncNobody @Jalebi_Bai_ @ParodyPTI मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,NONE
#IndiaCovidCrisis | पति और बेटा गहने बेचकर मिले रुपयों से जरूरतमंदो को मुफ्त में दे रहे हैं #OxygenCylinder https://t.co/jAUjkHhhx2,NOT,NONE
@iyctripura @Narwal_inc @priyankagandhi @IYC @INCUttarPradesh @IYC_UPWest @INCUPEast @NSUIUPWest @NSUIUPCentral @pankhuripathak दीदी होगी तुम्हारी  रंडी साली हमारी दीदी कब से होगी,HOF,PRFN
युवा तो जगा ही रही है भाजपा सरकार को पर  आने वाले समय में अगर आप मुख्य मंत्री बनते हैं तो  वादा करिये शिक्षा स्वास्थ्य सेवा को बदल कर रहेंगे #FarmersProtest #रोहित_सरदाना #RohitSardana #YogiJhootaHai #aajtak #ModiKaVaccineJumla https://t.co/QKPCm5mQwV,NOT,NONE
@TejYadav14 कहाँ थे तेज़ू भैया जब ओसामा शाहब को RJD वालो कि जरूरत था ट्विटर से ट्वीट कर देना बहुत सरल हैं  #JusticeForShahabuddin,NOT,NONE
@AZHARIM95913691 @ShayarImran और दरी बिछावो #JusticeForShahabuddin,NOT,NONE
ज़िंदगी और #मौत दोनों से डर रहे है। बंदे में कुछ तो ख़ास बात थी। इसलिए ही लाश देने से डर रहे है।  #JusticeForShahabuddin,NOT,NONE
अगली बार नेताजी आयें तो पूछना कि अच्छे अस्पताल कब बनवाओगे?या फिर हमें बाँट के जीत जाओगे?#ModiKaVaccineJumla #ArrestPChidambaram #RishiKapoor #RohithSharma #Hitman #500DaysOfAmaravatiProtests #FarmLaws_NextPandemic #HappyBirthdayRohit #RIPKVAnand #IndiaCovidCrisis #ModiMustResign https://t.co/9XInE3jO53,NOT,NONE
विश्व गुरु से हम विश्व भिखारी बन गए! 🤔🤔🤔😔😔 #ModiKaVaccineJumla,HOF,HATE
"शेर-ए- #बिहार  ""सिवान के साहेब"" #sahabuddin साहब को आखरी सलाम... अल्लाह जन्नत नसीब करें #आमीन  #JusticeForShahabuddin @Nargis_Ansari74 @munshi_lukman  @nnahid19 https://t.co/15GV2R2p8l",NOT,NONE
"@sukumaranlens @rammadhav_rss @ThePrintIndia भाइयों बहनों पैशे खिदमत है, एक और #पप्पूशास्त्र का विद्यार्थी 🤣  Don't listen to @RahulGandhi  Its' a #ChineseAgent working as a #ChineseBot heavily funded by enemy countries to trouble India n spread #ChineseVirus. Proponent of #Pappuanomics 1 of a #INCorporated #LOLu",HOF,OFFN
#BengalBurning #BengalViolence #bengal #CruelMamta #HindusLivesMatter #राष्ट्रपति_जी_बंगाल_संभालो #CruelMamata #Bengalisburning https://t.co/Ify0EEm5eQ,NOT,NONE
"ये बंगाल की CM ममता बनर्जी नही है,ये Terror की आका डायन है👹जो बंगाल मे TMC पार्टी के आतंकवादी जिहादीयोंसे बलात्कार,खुन,खराबा बंमबारी कराती है  #TMCTerror #TMCGoons #BengalBurning #BengalViolence #MamtaisTerrorist #ArrestMamta #ShameOnDiaonMamta #ShameOnTerroristMamtaBanerjee https://t.co/T44G2oGURm",HOF,OFFN
"कितना है बदनसीब ज़फर दफ्न के लिए, दो ग़ज ज़मीन भी न मिली कू ए यार में!  #JusticeForShahabuddin",NOT,NONE
"हे सगळे.. फक्त आणि फक्त आपल्या इस्टेटी, मालमत्ता, आणि अवैध मार्गाने कमावलेल्या संपत्तीचं संरक्षण करण्यासाठी पक्ष बदलतात.‌ उद्या सतेची चक्र फिरली की पुन्हा नव्या पक्षात जाणार..हे बीन पेंदीचे लौटे आहेत.. @sanjaykumthek10 @KhadseVasant @aSantoshTweets @Pradeep67231171 https://t.co/Oy3FuFjC1e",NOT,NONE
#बंगाल_हिंसा #बंगाल_हिंसा #CruelMamata #BengalBurning #mamtaisterrorist,NOT,NONE
सोशल मीडिया पर विधवा विलाप करने से कुछ नहीं होगा..मैदान में जाओ   #BengalBurning,NOT,NONE
@JPNadda @BJP4India ना ही आपने सबका साथ  दिया । ना ही आपने किसी का विकाश किया । और ना ही देश की जनता को आपलोगो पर विश्वास है । #Fake_BJP #FarmersProtest  #ModiKaVaccineJumla  #ExitModi  #ModiResign  #ModiGovtSeNaHoPayega  #ModiFailsIndia  #KisanBole_NoVoteToModi,NOT,NONE
Lockdown से काम नहीं चल रहा है अब तो STEPDOWN करे सरकार! #ResignModi,NOT,NONE
#DriveThroughVaccination: यह सुविधा भुज के आरडी वरसाणी स्कूल के मैदान में शुरू हुई है. अभियान सुबह 11 बजे तक और शाम 4 से 6 बजे तक जारी रहेगा #CovidVaccine #Covid19India #CovidNews https://t.co/q23hxeTUy3,NOT,NONE
जुमलेबाज मोयी जी 🔥🔥 #ModiKaVaccineJumla https://t.co/ZgLLDjjYGI,HOF,OFFN
"@TheSumit17 @Dr_Uditraj दोस्तों, आओ हम सब सर्वसम्मति से महान अर्थशास्त्री, धुरंधर वैज्ञानिक, अंतर्राष्ट्रीय किसान, भयंकर सवर्ण-दलित मसीहा #चुदित राज जी को खांग्रेस #अध्यक्ष एवं #पलधानमंतली बनाएं !!🙏 ""सभी #समस्याएं समाप्त"" #उदित_राज_को_अध्यक्ष_बनाओ_बे @Dr_Uditraj  #CovidVaccine https://t.co/HrWBrorcLe",HOF,OFFN
