Post,Labels Set,Dataset
"ஏன் அனாதை குழந்தையழையும் உங்கள மாதிரி lesbian, gay வளர்க வா?",Hate-Speech,tamil_dataset
யா அல்லாஹ்.... இவங்களுக்கு ஒரு நல் வாழ்வை கொடு.. ஆமென்,Non-Hate-Speech,tamil_dataset
முதல்முறை ஒரு பிராங்க்  பார்த்து கண் கலங்கியது அருமை  நண்பா,Non-Hate-Speech,tamil_dataset
Sarveswaraa Sriazhagan அதுல எந்த ஆட்சேபனை இல்லை. ஆனால் தனிமனித சந்தோஷத்திற்காக இந்த கேவலமான செயல பரப்ப கூடாது. காரணம் எல்லாம் இப்படி தான் ஆரம்பிக்கும்......,Hate-Speech,tamil_dataset
"நீதிபதி பையனுக்கு ஒரு பையன பார்த்து கல்யாணம் பண்ண சொல்லு, அதேமாதிரி பொண்ணுக்கும் பண்ண சொல்லு, எனக்கு ஒரு சந்தேகம் நீதிபதியும் அதுவானு",Hate-Speech,tamil_dataset
"ஓரினச்சேர்க்கை என்பது குடி, புகைப்பிடித்தல், சூதாட்டம், மதம், சாதி, ஆதிக்கம் போன்று நாங்கள் பழகிக்கொள்ளும் தவறான பழக்கம் இல்லை, அது பிறப்பில் இருந்து இயற்கையாக வருவது என்று அறிவியல் சொல்கிறது. இது நோய் இல்லை குணப்படுத்த, இது குற்றம் இல்லை திருத்த",Non-Hate-Speech,tamil_dataset
முதலில் இந்த தமிழ் மீடியா பசங்களுக்கு    என் மனமார்ந்த வாழ்த்துக்கள்,Non-Hate-Speech,tamil_dataset
இதல்லாம் இவுங்களே பிளான் போட்டு செட் panni ஆக்ட் பன்றாங்க,Non-Hate-Speech,tamil_dataset
"திருநங்கை என்பது பெண்மையின் பிரதிபலிப்பு தானே! ஒரு மகனின் ஏக்கத்தையும், அதன் தாக்கத்தையும் ஒரு தாயால் மட்டுமே உணர்ந்து அதற்குசாியான தீர்வை தருபவர் தாய் தான்.",Non-Hate-Speech,tamil_dataset
என்னோட ஒரு request friends... please இந்த மாறி திருநங்கை அவர்களை பார்த்த அவங்க நம்ம கிட்ட வந்து உதவி கேட்கும் முன்பே நீகளே உதவி செய்ய வேண்டும்....அந்த மரியாதை யாவது நாம் செய்வோம்❤️,Non-Hate-Speech,tamil_dataset
"GLBT என்பது இயற்கையே  ,எல்லா பெண்ககளுக்கும் குழந்தை பிறக்கின்றனவா !??,அப்படி குழந்தை பெற்றுக்கொள்ளாதவர்கள் வாடகைத்தாய் நாடுகின்றனர் அல்லது தத்தெடுக்கின்றனர்.(மன்னிக்கவும் 🙏 நான் யார் மனதையும் புண்படுத்தும்படி பேசியிருந்தால் மன்னத்துவிடுங்கள் .",Non-Hate-Speech,tamil_dataset
அழகா இருக்குங்கே பெயர் சொல்லுங்க...,Non-Hate-Speech,tamil_dataset
இனி   ஒவ்வொரு செய்தி ஊடகத்திலும்....ஓரின gay lesbian வன்கொடுமை......செய்திகளை  பார்க்கலாம்,Hate-Speech,tamil_dataset
"மனித உறவுகளுக்கான புனிதம் அறியாதவர் நீங்கள் ...!; காலங்காலமாக தொன்றுதொட்டு வரும் உறவு முறைகளுக்கு(அம்மா, அப்பா, அண்ணன், அக்கா, தங்கை, தம்பி, தாய்மாமன், அத்தை, சித்தி, சித்தப்பா....etc.) சாவுமணி அடிக்க சில ஈனபிறவிகள் புறப்பட்டு இருக்கின்றனர் நீங்கள் அவர்களுக்கு குடை பிடிப்பதன் மூலம் அவர்கள் நல்வழிக்குள் வராமல் மலத்தில் புரளும் புலுக்களாய் மாற ஊக்கம் அளிக்கின்றிர்கள்.",Hate-Speech,tamil_dataset
இந்த வீடியோவ comedy effect ல பண்ணாம serious ah பண்ணா அந்த அக்காக்கு tribute ah இருந்திருக்கும்...,Non-Hate-Speech,tamil_dataset
Thirunangai  Review திருநங்கை அக்கா சப்டிங்கள,Non-Hate-Speech,tamil_dataset
"இது ஒரு நோய்  தான் . குணப்படுத்த முடியும்.ஆனா இது எனக்கு புடிச்சு இருக்குனு அப்படியே இருக்குறது எவ்வளவு பெரிய முட்டாள்தனம்? ஆணுக்கு ஆண் மேலே , பெண்ணுக்கு பெண் மேலையும்‌ நட்பு, அன்பு,பாசம் வரலாம்.காதல் வருமா? இதுல சினிமாகார கூத்தாடிங்க இதுக்கு ஆதரவு.எல்லாரும் அவங்க அவங்க இஷ்டத்துக்கு வாழனும்னா நீங்க காட்டுக்கு தான் போகனும்.ஏன்னா அங்க தான் எந்த சட்டமும் இல்லை.",Hate-Speech,tamil_dataset
எச்சக்கல 9நாய்ங்கள எல்லாரும் சேர்ந்து அடிங்க அப்பதான் காசு கேட்க மாட்டானுங்க,Hate-Speech,tamil_dataset
மிக மிக அருமை,Non-Hate-Speech,tamil_dataset
அந்த அக்கா மனித கடவுள்,Non-Hate-Speech,tamil_dataset
உலகம் அழிஞ்சு போனா எல்லாரும் சாவுங்க டா...,Non-Hate-Speech,tamil_dataset
கண் கலங்க வச்சிட்டிங்க நண்பா,Non-Hate-Speech,tamil_dataset
அவுங்க வேலாயினா இந்த அட்மின் லோலாயி போல....,Non-Hate-Speech,tamil_dataset
சுத்தி நிக்கற அத்தன பேரும் சோ்ந்தா இதுகள மெரட்ட முடியாதா?,Non-Hate-Speech,tamil_dataset
மனநிலை பத்தி நெறய தெரிஞ்சு வச்சு இருப்பீங்க போல!,Non-Hate-Speech,tamil_dataset
அந்த அக்காவுக்கு என்னுடைய அன்பு கடந்த பாசம் உண்டு.,Non-Hate-Speech,tamil_dataset
தூ எந்த பொட்ட பயன் இத வீடியொ புடிச்சவன் ......அங்கயே அவள கிழிக்காம வீடியொ புடிச்சு போட்ருக்க ..... உண்மையான பொட்ட நீதான்டா ....... தூ,Non-Hate-Speech,tamil_dataset
என்றைக்காவது எனக்கு பிடித்த மாதிரி என்  வாழ்க்கை மாறும்முன்னு நினைச்சு வாழ்ந்துட்டு இருக்க,Non-Hate-Speech,tamil_dataset
மறுமை நாளின் அடையாளங்களில் ஒன்று நபி ஸல் அவர்களால்  1800 வருடங்கள் முன்பே  திரு குரான் மூலம் குறிப்பிட பட்டு உள்ளது,Hate-Speech,tamil_dataset
மனித நெயம்மிக்க அந்த திருநங்கை நான் தலை வணங்குகிறேன்,Non-Hate-Speech,tamil_dataset
இதுவும் இயற்கை தான்... இது மரபணு சம்பந்த மாறுபாடு.... இதை குறை என்றால் இறைவன் தான் குறை சொல்ல வேண்டும்,Non-Hate-Speech,tamil_dataset
என்ன பா வர வர எல்லாரும் sun TV episode  மாறி கொண்டுபோறீங்க .....,Non-Hate-Speech,tamil_dataset
திருநங்கை  எல்லாரும் நல்ல பெண்கள்....,Non-Hate-Speech,tamil_dataset
எனக்கு திருநங்கை ரொம்ப பிடிக்கும் I காதல்  u amma 's,Non-Hate-Speech,tamil_dataset
BSM உனக்கு லெஸ்பியன் புடிக்குமா,Non-Hate-Speech,tamil_dataset
நீங்கள் அனைவரும் அர்த்தநாரீஸ்வரர் இதை உலகம் ஒரு நாள் அறியும். அதுவரை காத்திருக்கவும். நல்லதே நடக்கும் நல்லதே நினைப்போம்.,Non-Hate-Speech,tamil_dataset
Mohamed Sameer. முஸ்லிம் பெயர்தாங்கி,Non-Hate-Speech,tamil_dataset
இயற்கைக்கு‌ மாறாக இருந்தால் இயற்கை அழித்துவிடும். புதிய வியாதிகள் உருவாகலாம். அல்லது சீக்கிரமே அழியல்லாம்,Hate-Speech,tamil_dataset
எந்த தேவடியா மகண் அது,Non-Hate-Speech,tamil_dataset
இப்படி ஒருசில திருநங்கைகலால் நல்லவர்களும் பாதிக்கபடுகிறார்கள்,Non-Hate-Speech,tamil_dataset
"ஏண்டா நாயே,; ஒரு போற பொண்ணு மடக்கி வைத்து பிளாக் மெயில் பண்றது தான் நீங்க பண்ணுற பிராங்க் ஷோ.; அந்த அம்மாவை கஷ்டப்படுத்தி,; கடைசியில் பிராங்க் ஷோ இது அவங்க கிட்ட சொன்னா அவங்க எவனோ கஷ்டப்படுவாங்க.; இனிமேல யாருக்காக உதவி பண்ணுவாங்களா.; அவங்க எனக்கு வேலை இருக்கு வேலை இருக்குன்னு சொல்றாங்க. இதே மாதிரி முக்கியமான வேலை உனக்கு இருக்கும் போது உன்னை இந்த மாதிரி பிராங்க் பண்ணா நீ எவ்வளவு கோபப்படுவ.",Non-Hate-Speech,tamil_dataset
மண்ட புண்ட சுன்னி மாதிரி இருக்கு...,Non-Hate-Speech,tamil_dataset
weird தமிழன் போடா டேய் அப்படி தப்பா நெனச்சாதான் அவன் நார்மல் மனுசன் மனுசன் தப்பா நெனைக்கணும்  அதுதான் தனிமனித கட்டுபாடு கட்டுப்பாடு இல்லாத வாழ்க்கை குப்பைக்கு சமம் ஓரின சேர்க்கை தவறு நீதிமன்ற தீர்ப்புனால எல்லாம் தப்பா போயிட்டிருக்கு இப்போ கள்ள உறவு தப்பு இல்லையாம் அப்போ அதுக்க பெயரமட்டும் கள்ள உறவுண்ணு ஏன் வைத்தார்கள் என்று தெரியவில்லை,Hate-Speech,tamil_dataset
தமிழ்நாட்டில் இவ்வளவு  மோசமான நிலையில் இருக்கும் போது  யாரும் தெரியாத பையனிடம்  திருநங்கை அரவணைப்பது மிகவும் மகிழ்ச்சி இருக்கிறது திருநங்கைகளின் பாசத்தை வெளிக்கொண்டு வந்ததற்கு இந்த சேனலுக்கு நன்றி...🤩,Non-Hate-Speech,tamil_dataset
weird தமிழன் என்னால internet இல்லாம வாழ முடியும். மொதல்ல இயற்கை சாராமல் ஒரு நிமிடம் உங்களால உயிரோட இருக்க முடியுமா....  மூச்சி திணறி சாகவேண்டியது தான்... இயற்கையோட internet comparing....,Non-Hate-Speech,tamil_dataset
I லவ் it . செம . சூப்பர்,Non-Hate-Speech,tamil_dataset
உங்கள் அப்பா உன்னை மாதிரி நினைத்து ஒரு ஆம்பளை கூட செக்ஸ் வச்சு இருந்தால் நீ இப்போது இப்படி நக்கீரன் பத்திரிகை கூட பேசிட்டு இருப்பியா.....,Hate-Speech,tamil_dataset
நடக்கும் சில தவறு களுக்காக இந்த நாற்றம் பிடித்த கேவலமான அருவருப்பான உறவை நியாயப்படுத்துவது சரியல்ல .இது சமுதாயத்தையும் வரும் சந்ததிகளையும் கெடுக்கும் செயல் ஆகும்.,Hate-Speech,tamil_dataset
Nishanthini Krishnamoorthy நன்றி  நன்றி திருநங்கை பிறந்தாலும்  இந்த மாதிரி  ரோட்ல  பிச்சை  எடுக்க  விடமாட்டேன்  🤣🤣🤣🤣🤣😅😅😅😅,Non-Hate-Speech,tamil_dataset
டேய் மெண்டல். குதி.,Non-Hate-Speech,tamil_dataset
என்னோட வாழ்க்கை நரகமானாலும் பரவால்ல என்னோட அம்மாக்கு இப்படி ஒரு நிலமை வர கூடாதுனு ஒரு சாதாரண மனுசனா யோசிக்கவா...? என்னோட சந்தோசத்துக்காக ஒரு வாழ்க்கையை வாழவா...?அப்டி வாழ்ந்தாலும் அதுல மனசுக்கு மதிப்பில்லை அப்டின்னு தெரிஞ்சும் அப்டி இல்லாத ஒருத்தனை தேடுறதா...?இங்க எல்லா பசங்களும் ஒரே மாதிரி இல்லைங்க சிலர் நேர்மையா ஒழுக்கமா இருக்காங்க அவங்க வாழ்க்கைலயும் சிலர் வந்து நல்லவங்க போல நடிச்சி கடைசியா விட்டுட்டு போய் அவங்களையும் மாத்திடுறாங்க...எப்படி வேணுமோ வழறது வாழ்க இல்லைங்க..இப்டி தன் வழனும்கிறதுதான் வாழ்க்கை...நீங்க gay ஆ இருந்தாலும் இன்னொரு gay வ முதல்ல நல்ல மனசோட மனுசனா பாருங்க...எப்ப வாய்ப்பு கிடைக்கும்னு பேசாதிங்க...எல்லாம் மாறுங்க நம்ம மறுநாளே...Straight பசங்களும் எல்லா பொண்ணுங்க கூடவும் போரதில்லையே...இங்க தாங்க வேறுப்படுறோம்... பிறப்பால் இல்லை💯.. இப்படிக்கு உங்களில் ஒருவன்(மாற்றங்களே மாறாதது),Non-Hate-Speech,tamil_dataset
"செனிலா  திருநங்கை  உங்கள் மீது  அன்பும் பாசமும்  வைத்து  உள்ளேன்  என்  செல்  நம்பர்,   இதில்   பேசுங்க  என்னால்  முடிந்த  உதவி  செய்கிறன்",Non-Hate-Speech,tamil_dataset
Nagarjun Rajeshwaran போட நாறாக்கூதி,Non-Hate-Speech,tamil_dataset
ஆக்கினை தவம் அல்லது தியானம் பற்றி படிங்க ... அது தான் மூன்றாம் கண்ணின் சக்தி,Non-Hate-Speech,tamil_dataset
பெரிய மனம் அந்த அக்காவுக்கு 🥺😭 👍🏼,Non-Hate-Speech,tamil_dataset
Siva Siva எந்த ஊரு?,Non-Hate-Speech,tamil_dataset
நீங்க பிராங்க் பண்றீங்களா இல்ல என்ன பண்றீங்க ன்னு தெரியல ஆனா ஒரு நிமிஷம் கண் கலங்க வச்சிட்டீங்க திருநங்கையுடன் வாழ்க்கையை பத்தி நல்ல பதிவு,Non-Hate-Speech,tamil_dataset
தனிமனித உரிமை முக்கியம்..,Non-Hate-Speech,tamil_dataset
கடைசி வர அந்த அக்கா அவர விட்டு போகல லவ்லி அக்கா,Non-Hate-Speech,tamil_dataset
"ஏன்டா டேய்....எங்காவது எருதும் எருதும, சேவலும் சேவலும்......டிக்கிலோனா விளையாடி பார்த்தது உண்டா?. மணிதர்கள் மட்டும் தான் இப்படி....",Hate-Speech,tamil_dataset
"அருமை விளக்கம் இது தனி மனிதனின் விருப்பம் மட்டுமே வாழ்வது நம் மனதுக்கு பிடித்த யாரா இருந்தாலென்ன,,,,,",Non-Hate-Speech,tamil_dataset
அந்த திருநங்கை சகோதரி அவர்களின் மனது தான் இறைவன்.....,Non-Hate-Speech,tamil_dataset
"Rss,  bjp  நெனப்பு தான் வருகிறது  😂😂😂",Non-Hate-Speech,tamil_dataset
ஆகா அவனா நீ....,Hate-Speech,tamil_dataset
Correspondent la  ஏதாவது  படிங்க  சகோதரி,Non-Hate-Speech,tamil_dataset
அந்த அக்காவிடம் தெய்வத்தை பார்த்தவர்கள் ....யார்...யார்?,Non-Hate-Speech,tamil_dataset
இயற்கையில் எந்த உயிரினமும் இந்த நிலையை நோக்கி பயனிக்கவில்லை மனித இனத்தை மனிதனே அழிக்கும் மற்றுமொரு செயல்.இதற்கு இயற்கையிடம் மனிதன் வெட்கி தலைகுனிய வேண்டும்,Hate-Speech,tamil_dataset
"நீ திருநங்கை அல்ல! திருதங்கை! இவர்களுக்கு காவல்துறை, நீதிபதி போன்ற  வேலை கொடுத்தால் நடுநிலையாகவும்  நேர்மையாகவும் இருப்பார்கள்! ஏன் என்றால், தேவ பாஷையில் சொன்னால்  இவர்கள் ராஜச கணம் மேலோங்கப் பிறந்தவர்கள். அறிவியல் பாஷையில் சொன்னால் இவர்கள் நியூட்ரான்கள். நம் மனித சமுதாயம் இவர்களை சரிவர புரிந்து கொள்ளாமல் இவர்களை அவமதிக்கிறது. ஒரு அணுவில் புரோட்டானோ இல்லை ஒரு எலக்ட்ரானோ சுற்றுவட்ட பாதையில் இழந்து விட்டால் நியூட்ரான் அந்த இழப்பை சரி செய்வது போல, உலக அழிவின் போது, ஆண், பெண் அழிந்த பிறகு இறுதியாக சில யுகங்கள் இவர்கள் மட்டுமே வாழ்வார்கள்! ஆம்! இவர்கள் நியூட்ரான்கள்!",Non-Hate-Speech,tamil_dataset
weird தமிழன்இயற்கை  கடவுளுக்கு முன்னாடி என் மூளை ஒரு வரையரைக்குட்பட்டது தான்...  நமக்கு எந்த நோக்கத்தோடு எது கொடுக்கப்பட்டதோ அதை அதுக்கு மட்டும் பயன்படுத்தாம விதிவிலக்கா தன் தப்பை மறைக்க ஒரு புது நியாயம் பேசி எதுக்கு இதெல்லாம்.... படைச்சவனுக்கு தெரியாதா .. எப்படி வழி நடத்தணும்னு.. இங்க தான் மனித மூளை ஒன்னும் இல்லாம போய்டுது....,Non-Hate-Speech,tamil_dataset
அந்த மனசு தான் சார் கடவுள் ❤️😭🙏,Non-Hate-Speech,tamil_dataset
உங்கள மாதிரி Straight பசங்க எங்கள மாதிரி பசங்கள கேலி கிண்டல் பண்ணாம மதிப்பு குடுத்தா சமுதாயமும் குடும்பமும் மாறிடும் சகோ,Non-Hate-Speech,tamil_dataset
சீர் கெட்டு விடும் நாடு,Non-Hate-Speech,tamil_dataset
திருநங்கை க்கு இருக்கும் நல்ல மனம்... இந்த பெண்களுக்கு இல்லை.,Non-Hate-Speech,tamil_dataset
இவள்  வணங்கபடவேண்டியவள் . ஆயிரம் ஆண்டுகள்  அல்ல  பல  ஆயிரம் ஆண்டுகளுக்கு  எந்த கவலையும்  இல்லாமல்  மகிழ்ச்சியாக  வாழ  இறைவனை வேண்டுகிறேன்,Non-Hate-Speech,tamil_dataset
Yogini Ammu 👌👌👌சரியா சொன்னிங்க...,Non-Hate-Speech,tamil_dataset
இதற்கு காரணம் பஜகா,Non-Hate-Speech,tamil_dataset
அண்ணா ரொம்ப கஷ்டம் ஆ இருக்கு... அழுகையை நிறுத்த முடியல... ரொம்ப அழுதுட்டேன் 😣😣😣😣😥😥,Non-Hate-Speech,tamil_dataset
உண்மைய பேசுற அந்த மனம் தான் சார் இறைவன்🙏,Non-Hate-Speech,tamil_dataset
அளவிற்கு மீறின சுதந்திரம் ..சமுதாயத்தில் இத பத்தி பேசினா ..வளருது என்றால் ..ஏன்‌ பேசனும்‌ ..பட  நடிகர்கள் ஓடினர் ஆ இருந்தா ..அத பத்தி எனக்கு கவலை இல்லை ..என்ன பொருத்த வர சாதாரண ‌மனித தான்‌..நெற்றி‌ கண் திறப்பினும்‌ குற்றம் குற்றமே ..என்பது போல ...இது ..தவறுதான்‌ ..இதற்கு உண்டான..விளைவை..நாம்‌ அனைவரும்‌ சேர்ந்து தான்‌ சந்திக்க நேரிடும்‌ ..,Hate-Speech,tamil_dataset
இது கொழுப்புபெடுத்த  ஆளுகளின்  பாலியல் அசுத்தம்  படைப்பியல்பை  அசுத்தமாக்கும்  ஆளுகள் - வரையறை  தாண்டிய இழுக்கான செயல்  தன்னின சேர்க்கை.,Hate-Speech,tamil_dataset
நீங்கள் வணக்கத்திற்கு உரியவர்,Non-Hate-Speech,tamil_dataset
Gugan Baalraj டேய் தாயோளி,Non-Hate-Speech,tamil_dataset
ஹாய நண்பா நல்ல இருக்கு,Non-Hate-Speech,tamil_dataset
LGBT தவறான வழியில் சென்றால் மட்டும் தான் தவறு...மற்றபடி இது வரவேற்கத்தக்க விஷயம்,Non-Hate-Speech,tamil_dataset
என்னோட ஒரு request friends... please இந்த மாறி திருநங்கை அவர்களை பார்த்த அவங்க நம்ம கிட்ட வந்து உதவி கேட்கும் முன்பே நீகளே உதவி செய்ய வேண்டும்....அந்த மரியாதை யாவது நாங்கள் செய்வோம்❤️,Non-Hate-Speech,tamil_dataset
இது ரொம்ப முக்கியம் டா போய் வேலைய பருங்கடா,Non-Hate-Speech,tamil_dataset
நீங்கள் செய்த இந்த நிகழ்வு அவர்களை போண்டர சகோதரிகளுக்கு மதிப்பு மரியாதை ஏற்படுத்தி கொடுக்கும் நிகழ்வு இந்த கானொலியை கண்டு கண்கள் கலங்கி நிற்கிறது 🙏🏼🙏🏼🙏🏽🙏🏽🌷🌷🌼🌷👌👌💐🌸💮🏵💢🌷🌷🌷💚💚,Non-Hate-Speech,tamil_dataset
நண்பா இப்போவே உங்கள  பார்க்கனும் போல இருக்கு,Non-Hate-Speech,tamil_dataset
"மூண்றாம் பாலித்தார்கள், ஆண் பெண்ணாக உண்பவர்களும், பெண் ஆணாக உண்பவர்களும், சோர்ந்துக்கோ, உனக்கு பிறவியில் ஆண்மகனாக பிறந்தவனே தான் வேணுமா....",Hate-Speech,tamil_dataset
திருநங்கை நீங்கதான் காமபிசாசு பிறக்கும் பொழுது ஆணாக இருந்துவிட்டு பின்பு உணர்ச்சிகளை கட்டுப்படுத்த முடியாமல் இப்படி அறுவை சிகிச்சை செய்துவிட்டு ஆண்களை காமவெறி பிடித்தவர்கள் என சொல்வது தவறான செயல்லாகும்.....!,Hate-Speech,tamil_dataset
உன்னோட அப்பா அம்மா அப்படி இருந்திருந்தா நீ எல்லாம் பொறந்து இப்படி பேசி இருக்க மாட்ட,Hate-Speech,tamil_dataset
அருமை நல்ல தரவு   அரசு இவர்கலுக்கு   வாழ்வாதரத்தை  ஏற்படுத்தி கொடுக்கவேண்டும்  இவர்கலும்  மனிதர்கலே,Non-Hate-Speech,tamil_dataset
என்னய்யா பண்ணி வச்ச கை கால் ல புள்ளரிக்கு nadikanya nee ஒருத்தவ உணர்வ புரிஞ்சா மட்டும் தான் அதோட வலி தெரியும் எல்லாத்தையும் கண்ணுல காட்டுற ஐயா கண்ணிரா வாழ்க வளமுடன்...,Non-Hate-Speech,tamil_dataset
அழகான பெண் நீங்கள். சந்தோசமா இருங்கள் 👍,Non-Hate-Speech,tamil_dataset
இவள்ங்களை துடைப்பங்கட்டையா  அடிக்கனும்,Hate-Speech,tamil_dataset
9:12 antha மனசு tha கடவுள் 🙏🙏,Non-Hate-Speech,tamil_dataset
என் டா உணர்வுகளை கேவல படுத்துறீங்க k வா இருந்தாலும் கண்டிப்பா girl கூட வலுவான்டா கண்டிப்பா திமுற இல்லாம குடுமத்த நல்லா பாத்துப்பான் ஆணவம் இருக்காது இந்தா மாறி புருஷன் கிடைக்க girl குடுத்து வச்சிருக்கணும்,Non-Hate-Speech,tamil_dataset
மற்றவர்களை தாழ்த்தி காணும் மகிழ்ச்சியுடன் பாவமும் தொற்றிக்கொள்ளும்..,Non-Hate-Speech,tamil_dataset
மனிதனை தவிர வேறு எந்த,Hate-Speech,tamil_dataset
suganya Arumugam ஏன் நீ சாவேன் உன்னை படைத்த கடவுளுக்கு பிடிக்காத செயல் அதை செய்வதற்கு நீ சாகலாம் உணர்ச்சியை கட்டுப்படுத்த தெரியாத மிருகங்கள் இருந்தா என்ன செத்தா என்ன,Hate-Speech,tamil_dataset
shinchan shinchan உங்கள் இயேசுவுக்கு  மனம் அமைதி பெறட்டும்!!!!,Non-Hate-Speech,tamil_dataset
கொள்ளாதீங்க இல்லை,Non-Hate-Speech,tamil_dataset
இந்த உலகத்தில் இல்லாத அருவருப்புகளில் மேலன அருவருப்பு. ஓரினச் சேர்க்கை .இது ஒரு சாபமான பாவம்.,Hate-Speech,tamil_dataset
ஏதோ இங்க இருக்குற எல்லோரும் உத்தமன் மாதிரி பொங்குவானுங்க மானங்கெட்டவனுங்க,Non-Hate-Speech,tamil_dataset
Realy கண்ணு கலகிறிச்சி..,Non-Hate-Speech,tamil_dataset
ஒரே விசயம் தான் இயற்கையான முறையில் பிறந்த ஓரின gay lesbian ஈர்பார்களாக சரி abused பாதிக்கப்பட்ட நபர்கள் மருத்துவர்கள் ஆலோசனை எடுத்து இயல்பான வாழ்க்கை நடத்தலாம் ஆனா ஓரினச்சேர்க்கையாளர்கள் மட்டுமே இந்த விசயம் சரிவரும்,Non-Hate-Speech,tamil_dataset
விபச்சாரத்திற்கும் அனுமதி கொடுத்துவிட்டான் கள்ள உறவு இனி தப்பு இல்லையாம்,Non-Hate-Speech,tamil_dataset
G அடுத்த விஷயத்தில் மூக்கை நுழைக்காதீர்கள்,Non-Hate-Speech,tamil_dataset
டேய் மெண்டல்  புண்டைகளா..,Non-Hate-Speech,tamil_dataset
Nishanthini Krishnamoorthy எனக்கு  என்னமோ  நீயும் 9 ஆஹ் தான்  இருப்பேன்னு  தோணுது  கரெக்ட்  ஆஹ்,Hate-Speech,tamil_dataset
J. devi jahir J. devi jahir என்னால் உதவி செய்ய முடியும் ஆனால் நீண்ட தூரத்தில் இருக்கிறேன்...  இயலாமைக்கு வருந்துகிறேன்,Non-Hate-Speech,tamil_dataset
"இது இயற்கைனு சொல்ற அறிவாளிகளே...ஆணும், பெண்ணும் இணைவதுதான் இயற்கை...ஓரினச் சேர்க்கை இயற்கைக்கு விரோதம்...எதிர்பாலின ஈர்ப்பே தெளிவான மனநிலை...ஓரினச் சேர்ககையென்பது ஒருவித மனநோய் தான்...இதையும் தனிமனித உரிமைனு போர்க்கொடி அரைவேக்காடுகளை என்ன செய்வதென்று தெரியவில்லை..?",Hate-Speech,tamil_dataset
"கள்ளிப்பால் ஊத்தி பெண் குழந்தைய கொல்லுறவன், ; குப்ப தொட்டில குழந்தைய போட்டு போறவன்,  காது கேக்காத சின்ன குழந்தைட்ட வல்லுறவு கொள்பவன்,  குழந்தைகள, பொண்டாட்டிய வேலைக்கு அனுப்சிட்டு வீட்ல உக்காந்து மது போதை அடிக்கிறதுல பாக்காத இயற்கை சீரழிவ. முழு சம்மதத்தோட வயது வந்த இருவர் உறவு கொள்ரதுல இயற்கை அழியிதுன்னு நீ நினைச்சா தவறு  அவுங்க மேல இல்லை உன் பார்வைல தான்!!",Non-Hate-Speech,tamil_dataset
உடல் இச்சைகளுக்காகவே வாழும் ஈனபிறவியாக மனிதகுலம் மாறி வருகிறது.,Hate-Speech,tamil_dataset
"கடவுளை அறியாதவள், பாவத்தை உணராமல் உளறுகிறாள்.",Hate-Speech,tamil_dataset
வீட்டோட மாப்பிள்ளையா செல்ல விரும்பும் நபர்கள் தங்கர்பச்சான் சார் இயக்கத்தில் சேரன் சார் நடித்த சொல்ல மறந்த கதை திரைப்படத்தை பார்த்துவிட்டு பொறுமையாக முடிவு செய்யவும்.....,Non-Hate-Speech,tamil_dataset
வாழ்க வளமுடன்  சகோ,Non-Hate-Speech,tamil_dataset
அய்யா உங்கள் தாய் மொழி இன்னும் மழலை மொழியாகவே உள்ளதே.........,Non-Hate-Speech,tamil_dataset
உங்களை வேற்று கிரகவாசியாய் பார்க்கவில்லை.,Non-Hate-Speech,tamil_dataset
"tamilansat arjun அவர்களும் பேய்கள் இல்லை!!! இந்த கருத்து வரவேற்கத்தக்கது!!! 2017 who எடுத்த சர்வே என்ன சொல்கிறார்கள்  10 இல் 1 Homosexual அக இருக்கிறார்கள்!!!   அதாவது யார் குடும்பத்தில் வேண்டுமானலும் இருக்கலாம், தங்கள் குடும்பத்தில் அப்படி இருந்தால் அந்த நபரின் தனிபட்ட உணர்வுகளை புரிந்து கொள்ள வேண்டும்!!! அவர்களும் மனிதன் தான்!!! Homosexuality காதல் உணர்வுகளையும் சார்ந்தது, ஆனால் இந்த சமூகம் காமத்தை மட்டுமே முதல் எடுத்துக்காட்டாக பார்கிறது!!! அது தவறான நோக்கம்!!!",Non-Hate-Speech,tamil_dataset
swetha k,Non-Hate-Speech,tamil_dataset
இந்த தீர்ப்பை வைத்து ....... வேரா ஏதோ திட்டம் வச்சி இருக்காங்க.....,Non-Hate-Speech,tamil_dataset
இத ஆதரித்து பேசுரவங்க எல்லாம் ஒரிணசேர்க்கையாளர்கள் தான்..,Hate-Speech,tamil_dataset
ஒரு வருஷத்துக்கு முன்னாடி என் சித்தப்பா இருந்தப்போ கடைசியா அழுதன் கண்ணீர் விட்டு. இப்போ இந்த வீடியோ பாக்கும்போது அழறன். அந்த தோழி ஆடுனாங்க அப்போ control பண்ண முடியல பயங்கரமா அழுதுட்டேன்... நடிப்புனு தெரிஞ்சும் அழ வச்சிடீங்க. வாழ்த்து💖💝💖💝,Non-Hate-Speech,tamil_dataset
இவா ஆம்பளயா?பொம்பளயா? மொ..யையே காணோம்?,Hate-Speech,tamil_dataset
திருநங்கைகள் சேய்தகாரியம் சரி தவறா  எனது பதில் மிகவும் தவறானதுதான் இந்த ஊர் உலத்தில உமைகள் வாழ்வதியில்லையா திருநங்கைகள் நான் இவர் வேறுக்வில்லை  ஆனால் இவர்கள் சேய்தகாரியம் சரியில்லை தயவுசெய்து மணிகுளம் எப்படி ஏற்றுக் கொள்வார்கள்,Non-Hate-Speech,tamil_dataset
