Post,Labels Set,Category,Dataset,Processed_Post
পাপন একটা পাগল,0,sports,Bengali hate speech ,পাপন একটা পাগল
মিন্নীকে দেখতে তো পুরা মাগীর মত লাগে মনে হয় আবাসিকে থাকত,1,crime,Bengali hate speech ,মিন্নীকে দেখতে তো পুরা মাগীর মত লাগে মনে হয় আবাসিকে থাকত
আমি ছাত্রলীগের একজন সদস্য কিন্তু ইদানীং এর মাঝে ছাত্রলীগের কর্মকাণ্ড দেখে খুব খারাপ লাগতেছে,0,politics,Bengali hate speech ,আমি ছাত্রলীগের একজন সদস্য কিন্তু ইদানীং এর মাঝে ছাত্রলীগের কর্মকাণ্ড দেখে খুব খারাপ লাগতেছে
ময়ূরী সোনা তোমার ঐ দুইটা এত বড় করছ বাবারে কত টন হবে,1,"Meme, TikTok and others",Bengali hate speech ,ময়ূরী সোনা তোমার ঐ দুইটা এত বড় করছ বাবারে কত টন হবে
ওরে বাবা রে। ওরে মা রে,0,entertainment,Bengali hate speech ,ওরে বাবা রে। ওরে মা রে
এখনো কেন ফাঁসি না এই কুত্তার বাচ্চাদের,1,crime,Bengali hate speech ,এখনো কেন ফাঁসি না এই কুত্তার বাচ্চাদের
নাস্তিক কুকুরের বাচ্ছারা তদের মুখে জুতা।,1,religion,Bengali hate speech ,নাস্তিক কুকুরের বাচ্ছারা তদের মুখে জুতা।
মোঃ ইসমাইল হোসেন হাহা কেন দিছস একটু বুঝিয়ে দিবি? জাস্ট জানার আগ্রহ কোন জায়গাটায় তোর মনে হয়েছে লিখাটায় হা হা দেয়া যায়,0,celebrity,Bengali hate speech ,মোঃ ইসমাইল হোসেন হাহা কেন দিছস একটু বুঝিয়ে দিবি? জাস্ট জানার আগ্রহ কোন জায়গাটায় তোর মনে হয়েছে লিখাটায় হা হা দেয়া যায়
স্কুল লাইফে একটা ডায়লগ দিতাম তোর যদি এই চোদন হয় তবে হনুমান এর কি চোদন যায়হোক বিচারক দের ভাবের চো নে নিজেকে পুরাই বোকা দা মনে হচ্ছে। আরে ভাই ভাই শবনাম ফারিয়া টারিয়া আর কয়েক নাটকি আছে যাদের নাম বলার প্রয়োজন মনে করছি না। ওনাদের নাটক দেখে এখন কলেজ পড়ুয়া কিছু নির্বোধ ছেলে মেয়ে যাদের নাটকএর একটাই বিষয় যা হল বাবু বেবি মার্কা প্রেম। তারা এমন ভাব চোদায় বাপরে বাপ।,1,entertainment,Bengali hate speech ,স্কুল লাইফে একটা ডায়লগ দিতাম তোর যদি এই চোদন হয় তবে হনুমান এর কি চোদন যায়হোক বিচারক দের ভাবের চো নে নিজেকে পুরাই বোকা দা মনে হচ্ছে। আরে ভাই ভাই শবনাম ফারিয়া টারিয়া আর কয়েক নাটকি আছে যাদের নাম বলার প্রয়োজন মনে করছি না। ওনাদের নাটক দেখে এখন কলেজ পড়ুয়া কিছু নির্বোধ ছেলে মেয়ে যাদের নাটকএর একটাই বিষয় যা হল বাবু বেবি মার্কা প্রেম। তারা এমন ভাব চোদায় বাপরে বাপ।
এই সব মাগির বাচ্চা পির গুলারে জবাই করা উচিত,1,religion,Bengali hate speech ,এই সব মাগির বাচ্চা পির গুলারে জবাই করা উচিত
অপু উকিল মহিলাটার লজ্জা শরম বলতে কিছু নাই ? কেমনে কথা বলে এই চুত্মারানি?,1,politics,Bengali hate speech ,অপু উকিল মহিলাটার লজ্জা শরম বলতে কিছু নাই ? কেমনে কথা বলে এই চুত্মারানি?
মিন্নি খাটো মাগি মাগির মারে চুদি মাগি আস্তে হাটে আবার মাগি কে নয়ন মাদার চোদ কিছু করেনি। মাগি জডিত,1,crime,Bengali hate speech ,মিন্নি খাটো মাগি মাগির মারে চুদি মাগি আস্তে হাটে আবার মাগি কে নয়ন মাদার চোদ কিছু করেনি। মাগি জডিত
"অন্যান্য লেখকদের দেখা হয় যেভাবে :তাদের কবিতা,উপন্যাস,প্রবন্ধ ইত্যাদি সৃষ্টিকর্মের দ্বারা।    লেখক জাফর ইকবালকে বাঙালী দেখে যেভাবে :-অাস্তিক নাকি নাস্তিক,কোন রাজনৈতিক দল করে,দালাল নাকি চাটুকার,যোদ্ধা নাকি শান্তিপ্রিয়,গোফওয়ালা নাকি গোফছারা,কালা নাকি ফর্সা,শিক্ষক নাকি বিজ্ঞানী,বাদ যায় না পরিবার,গোষ্ঠি,অাত্মিয়স্বজনও।    Rip বাঙালী,বাঙালী পারেও বটে!",0,celebrity,Bengali hate speech ,"অন্যান্য লেখকদের দেখা হয় যেভাবে :তাদের কবিতা,উপন্যাস,প্রবন্ধ ইত্যাদি সৃষ্টিকর্মের দ্বারা।    লেখক জাফর ইকবালকে বাঙালী দেখে যেভাবে :-অাস্তিক নাকি নাস্তিক,কোন রাজনৈতিক দল করে,দালাল নাকি চাটুকার,যোদ্ধা নাকি শান্তিপ্রিয়,গোফওয়ালা নাকি গোফছারা,কালা নাকি ফর্সা,শিক্ষক নাকি বিজ্ঞানী,বাদ যায় না পরিবার,গোষ্ঠি,অাত্মিয়স্বজনও।    Rip বাঙালী,বাঙালী পারেও বটে!"
তোমার মত বেশ্যার খদ্দরের কারণে এসব ঘটে।।।,1,celebrity,Bengali hate speech ,তোমার মত বেশ্যার খদ্দরের কারণে এসব ঘটে।।।
তোরা নিজে নিজেরে কি ভাবিস বলতো নিজেদের কোন মার্কেট আছে যে বালের যে নায়েকা সে আবার বিচারক।,1,entertainment,Bengali hate speech ,তোরা নিজে নিজেরে কি ভাবিস বলতো নিজেদের কোন মার্কেট আছে যে বালের যে নায়েকা সে আবার বিচারক।
না।এটিম।চাচা।আপনে।আমার বাবার।বয়েসের।তাই চাচা।বলাম।আপনে।অনেক বছর বেঁচে থাকে ন আমিন দোয়া করি,0,entertainment,Bengali hate speech ,না।এটিম।চাচা।আপনে।আমার বাবার।বয়েসের।তাই চাচা।বলাম।আপনে।অনেক বছর বেঁচে থাকে ন আমিন দোয়া করি
এই জিলানি নিম বাড়ি এক মসজিদে ইমামতি করিয়া এক লােকের বউয়ের সাথে প্রেম করিয়া দরা খাইয়া গেছে,0,religion,Bengali hate speech ,এই জিলানি নিম বাড়ি এক মসজিদে ইমামতি করিয়া এক লােকের বউয়ের সাথে প্রেম করিয়া দরা খাইয়া গেছে
স্ট্যাটাস টা পড়লে বমি হওয়ার সম্ভাবনা আছে তাই মদ খান আর কমপন্ট পড়েন।।।,0,celebrity,Bengali hate speech ,স্ট্যাটাস টা পড়লে বমি হওয়ার সম্ভাবনা আছে তাই মদ খান আর কমপন্ট পড়েন।।।
মুসফিক আমার বাল চুদানির পোলারা ছাড়।,1,sports,Bengali hate speech ,মুসফিক আমার বাল চুদানির পোলারা ছাড়।
আহলে খ‌বিস মাদারচ‌ুদ গুলো কই,1,religion,Bengali hate speech ,আহলে খ‌বিস মাদারচ‌ুদ গুলো কই
"আপনার লেখার প্রথমে দেখলাম বিশবিদ্যালয়ে ভূর্তির ব্যাপারে কি জেনো বললেন। বিশবিদ্যালয়ে ভূর্তির যদি এস এস সি এবং এইছ এস সি ফলাফলের উপর নির্ভর করে দেয়। তাহলে গ্রামের ছাএ ছাএরা কথায় পরবে। কেননা গ্রামের চেয়ে শহরে পড়া লেখা মান ভালো। গ্রামের ছাএ ছাএরা অনেক মেধাবী কিন্তু তারা ভালো শিক্ষক, পরিবেশ না থাকার কারনে তারা ভালো ফলাফল করতে পারে না। কিন্তু  তারা শহরের ছাএ থেকে অনেক মেধাবী তা ভূর্তি পরীক্ষার মাধ্যমে প্রমান হয়। এখন সরকার এস এস সি ও এইছ এস সি পরীক্ষায় তো মেধা যাছাই করে না বিশবিদ্যালয়ে ও করবেন না। আমরা এর প্রতিবাদ করি।",0,celebrity,Bengali hate speech ,"আপনার লেখার প্রথমে দেখলাম বিশবিদ্যালয়ে ভূর্তির ব্যাপারে কি জেনো বললেন। বিশবিদ্যালয়ে ভূর্তির যদি এস এস সি এবং এইছ এস সি ফলাফলের উপর নির্ভর করে দেয়। তাহলে গ্রামের ছাএ ছাএরা কথায় পরবে। কেননা গ্রামের চেয়ে শহরে পড়া লেখা মান ভালো। গ্রামের ছাএ ছাএরা অনেক মেধাবী কিন্তু তারা ভালো শিক্ষক, পরিবেশ না থাকার কারনে তারা ভালো ফলাফল করতে পারে না। কিন্তু  তারা শহরের ছাএ থেকে অনেক মেধাবী তা ভূর্তি পরীক্ষার মাধ্যমে প্রমান হয়। এখন সরকার এস এস সি ও এইছ এস সি পরীক্ষায় তো মেধা যাছাই করে না বিশবিদ্যালয়ে ও করবেন না। আমরা এর প্রতিবাদ করি।"
মুসফিক এর ভক্তদের দেখতে চাই লাইক দাও,0,sports,Bengali hate speech ,মুসফিক এর ভক্তদের দেখতে চাই লাইক দাও
এই সব বাহেনচোদদের কারনেই তো ওয়েষ্ট ইন্ডিজের কাছে ৪৩ রানে অল আউট।,1,sports,Bengali hate speech ,এই সব বাহেনচোদদের কারনেই তো ওয়েষ্ট ইন্ডিজের কাছে ৪৩ রানে অল আউট।
আফসোস্!😑আজও তাহসিনেশন ভাইয়াকে সাবস্ক্রাইবার উপহার দিতে পারলাম না😑😑,0,sports,Bengali hate speech ,আফসোস্!আজও তাহসিনেশন ভাইয়াকে সাবস্ক্রাইবার উপহার দিতে পারলাম না
শালার পুতের ভিডিও থাকিও নাকি তদন্ত করতে হবে তার জন্য। আর বিরোধীদল এডিটিং করা কোন ছবি ফেলে সেটা দিয়ে গ্রেপ্তার করে ফেলে। দেশটার একেবারে শেষ করে দিল শুয়োরের বাচ্চারা। এর জন্য শতাংশ সাংবাদিকেরা দায়ী।,1,crime,Bengali hate speech ,শালার পুতের ভিডিও থাকিও নাকি তদন্ত করতে হবে তার জন্য। আর বিরোধীদল এডিটিং করা কোন ছবি ফেলে সেটা দিয়ে গ্রেপ্তার করে ফেলে। দেশটার একেবারে শেষ করে দিল শুয়োরের বাচ্চারা। এর জন্য শতাংশ সাংবাদিকেরা দায়ী।
এইটা যে জারজ সন্তান বুঝতে কারো বাকি না জারজ ছাড়া এই রকম কথা কে বলবো আর,1,"Meme, TikTok and others",Bengali hate speech ,এইটা যে জারজ সন্তান বুঝতে কারো বাকি না জারজ ছাড়া এই রকম কথা কে বলবো আর
শালা লুচ্চা দেখতে পাঠার মত দেখা যায়,1,sports,Bengali hate speech ,শালা লুচ্চা দেখতে পাঠার মত দেখা যায়
"অসাধারণ সিনেমা! সোনালী দিনের চলচ্চিত্রগুলো দেখলে প্রাণটা জুড়িয়ে যায়। এই সিনেমার একটি গান &quot; আমার এই গানখানি যদি ভাল লাগে, কোনদিন ভুলে যেও না&quot; সেসময়ে অসম্ভব জনপ্রিয়ছিল। আজও কানে বাজে গানের কথা ও সুরের মূর্ছনা। ভেজাচোখ সিনেমাটি অনেকের প্রিয় চলচ্চিত্র। সিনেমাটি আপনাদের সংগ্রহে কিংবাকি কারো কাছে আছে?",0,entertainment,Bengali hate speech ,"অসাধারণ সিনেমা! সোনালী দিনের চলচ্চিত্রগুলো দেখলে প্রাণটা জুড়িয়ে যায়। এই সিনেমার একটি গান &quot; আমার এই গানখানি যদি ভাল লাগে, কোনদিন ভুলে যেও না&quot; সেসময়ে অসম্ভব জনপ্রিয়ছিল। আজও কানে বাজে গানের কথা ও সুরের মূর্ছনা। ভেজাচোখ সিনেমাটি অনেকের প্রিয় চলচ্চিত্র। সিনেমাটি আপনাদের সংগ্রহে কিংবাকি কারো কাছে আছে?"
ওই মাদারচোদ ডিসিকে বাজারের মধ্যে নেংটা করে পিটানো দরকার এবং ওই নারীর এখানে কোনো দোষ দেওয়া যাবেনা কারণ ওই নারী ডিসির অধিনে একজন কর্মচারী তাই ওই নারী ডিসির বিরুদ্ধে অভিযোগ করেও টিকতে পারবেনা আমাদের সমাজে একজন নারী নিরাপত্তা কতো টুকু হয়তো ওই নারী ডিসির বিরুদ্ধে অভিযোগ করলে হয়রানির শিকার হতো তাই হয়তো ওই নারী ডিসির বিরুদ্ধে অভিযোগ করার সাহস করেননি ওই নারীকে নিয়ে টানাটানি না করে ওই মাদারচোদ ডিসিকে বাজারের মধ্যে নেংটা করে পিটানো উচিত একজন নারীকে যদি প্রতিদিন একটা ধর্ষক কুত্তা যৌন হয়রানি করেন তাহলে একজন নারীর পক্ষে কতক্ষণ টিকে থাকা সম্ভব তাও আবার ধর্ষক ডিসি তার অধিনে চাকরি করে ওই নারী ওই নারীতো ডিসিকে যৌন হয়রানি করিনি প্রতিদিন যদি ওই কুত্তার বাচ্চা ডিসি ওই নারীকে উত্ত্যক্ত করতে থাকে ওই নারীর পক্ষে কি বা করার আছে ওই নারী অভিযোগ করবে কার কাছে ওই নারী যদি মাদারচোদ ডিসির বিরুদ্ধে অভিযোগ করতো তাহলে হয়তো ওই নারীর পক্ষে টিকে থাকা সম্ভব হতোনা তাই হয়তো ওই নারী ডিসির বিরুদ্ধে অভিযোগ করেননি তাই একজন নারীর দোষ খোজার আগে পর্দার আড়ালে ওই নারীকে কিভাবে ভয়ভীতি প্রদর্শন করে যৌন লালসার শিকার বানিয়েছেন সেগুলো আগে খুজে বের করা দরকার বাংলাদেশে ওই মাদারচোদ ডিসির মতো আরো অনেকে আছেন যারা প্রতিনিয়ত এমন হাজার হাজার নারীর সর্বনাশ করিতেছে যাহা আমরা জানি না তাই এই ডিসির বিরুদ্ধে কঠোর শাস্তি ব্যবস্হা করা হোক,1,crime,Bengali hate speech ,ওই মাদারচোদ ডিসিকে বাজারের মধ্যে নেংটা করে পিটানো দরকার এবং ওই নারীর এখানে কোনো দোষ দেওয়া যাবেনা কারণ ওই নারী ডিসির অধিনে একজন কর্মচারী তাই ওই নারী ডিসির বিরুদ্ধে অভিযোগ করেও টিকতে পারবেনা আমাদের সমাজে একজন নারী নিরাপত্তা কতো টুকু হয়তো ওই নারী ডিসির বিরুদ্ধে অভিযোগ করলে হয়রানির শিকার হতো তাই হয়তো ওই নারী ডিসির বিরুদ্ধে অভিযোগ করার সাহস করেননি ওই নারীকে নিয়ে টানাটানি না করে ওই মাদারচোদ ডিসিকে বাজারের মধ্যে নেংটা করে পিটানো উচিত একজন নারীকে যদি প্রতিদিন একটা ধর্ষক কুত্তা যৌন হয়রানি করেন তাহলে একজন নারীর পক্ষে কতক্ষণ টিকে থাকা সম্ভব তাও আবার ধর্ষক ডিসি তার অধিনে চাকরি করে ওই নারী ওই নারীতো ডিসিকে যৌন হয়রানি করিনি প্রতিদিন যদি ওই কুত্তার বাচ্চা ডিসি ওই নারীকে উত্ত্যক্ত করতে থাকে ওই নারীর পক্ষে কি বা করার আছে ওই নারী অভিযোগ করবে কার কাছে ওই নারী যদি মাদারচোদ ডিসির বিরুদ্ধে অভিযোগ করতো তাহলে হয়তো ওই নারীর পক্ষে টিকে থাকা সম্ভব হতোনা তাই হয়তো ওই নারী ডিসির বিরুদ্ধে অভিযোগ করেননি তাই একজন নারীর দোষ খোজার আগে পর্দার আড়ালে ওই নারীকে কিভাবে ভয়ভীতি প্রদর্শন করে যৌন লালসার শিকার বানিয়েছেন সেগুলো আগে খুজে বের করা দরকার বাংলাদেশে ওই মাদারচোদ ডিসির মতো আরো অনেকে আছেন যারা প্রতিনিয়ত এমন হাজার হাজার নারীর সর্বনাশ করিতেছে যাহা আমরা জানি না তাই এই ডিসির বিরুদ্ধে কঠোর শাস্তি ব্যবস্হা করা হোক
কুত্তার বাচ্চারে সরা,1,sports,Bengali hate speech ,কুত্তার বাচ্চারে সরা
দুস্ট উপস্থাপিকা এবং নাস্তিকদের সাথে কথা বলতে যাওয়াটা ঠিক নয়। এগুলো সব বেয়াদব,0,religion,Bengali hate speech ,দুস্ট উপস্থাপিকা এবং নাস্তিকদের সাথে কথা বলতে যাওয়াটা ঠিক নয়। এগুলো সব বেয়াদব
হিরো আলম ফেল নায়কের কাছে,0,entertainment,Bengali hate speech ,হিরো আলম ফেল নায়কের কাছে
যতসব ফালতু খবর মিথ্যাবাদী,0,"Meme, TikTok and others",Bengali hate speech ,যতসব ফালতু খবর মিথ্যাবাদী
গরু ছাগল হ বাল আছে তার চাঁদে গরু বাচ্চা গরু,1,crime,Bengali hate speech ,গরু ছাগল হ বাল আছে তার চাঁদে গরু বাচ্চা গরু
বাবামারাএইচেলেকেমারা,0,"Meme, TikTok and others",Bengali hate speech ,বাবামারাএইচেলেকেমারা
কত,0,"Meme, TikTok and others",Bengali hate speech ,কত
ভিউ এতো কম কেন??,0,politics,Bengali hate speech ,ভিউ এতো কম কেন??
বাঘের বাচ্চা ভাইয়া,0,sports,Bengali hate speech ,বাঘের বাচ্চা ভাইয়া
লুচ্চা,1,sports,Bengali hate speech ,লুচ্চা
কি বলবো বন্ধুরা। আমিও জামালপুরে লোক। আমি বলতে চাই এই ডিসি খানকির পোলাকে জুতার মালা পড়িয়ে সারা জামালপুর ঘোরানো থোক। এদের মত মানুষের কারনে সমাজের আজ এই অবস্থা।,1,crime,Bengali hate speech ,কি বলবো বন্ধুরা। আমিও জামালপুরে লোক। আমি বলতে চাই এই ডিসি খানকির পোলাকে জুতার মালা পড়িয়ে সারা জামালপুর ঘোরানো থোক। এদের মত মানুষের কারনে সমাজের আজ এই অবস্থা।
ওরে এমন শাস্তি দেওয়া হউক যাতে আর কোন ছেলে মে তার মা বাবার সাথে খারাপ ব্যাবহার না করতে পারে,0,"Meme, TikTok and others",Bengali hate speech ,ওরে এমন শাস্তি দেওয়া হউক যাতে আর কোন ছেলে মে তার মা বাবার সাথে খারাপ ব্যাবহার না করতে পারে
আমির হামজা ধন্যাবাদ মুফাছির,0,religion,Bengali hate speech ,আমির হামজা ধন্যাবাদ মুফাছির
কই আগর তলা আর কই ওগার তলা কার সাথে কি পান্তা ভাতে কি খালেদার সাথে কাদেরের তুলনা হাসতে হাসতে পেটে ব্যাথা করতেছে অপুর কথা শুনে,0,politics,Bengali hate speech ,কই আগর তলা আর কই ওগার তলা কার সাথে কি পান্তা ভাতে কি খালেদার সাথে কাদেরের তুলনা হাসতে হাসতে পেটে ব্যাথা করতেছে অপুর কথা শুনে
তুই মরার পর তরে চুদুম খাংকির পুলা,1,"Meme, TikTok and others",Bengali hate speech ,তুই মরার পর তরে চুদুম খাংকির পুলা
কোন গাছ বলদে এ নাটক পরিচালনা করছে আবাল,1,entertainment,Bengali hate speech ,কোন গাছ বলদে এ নাটক পরিচালনা করছে আবাল
খানকি মাগীর বাচ্ছা ইসলাম কি বোঝস খানকির বাচ্ছা খানকি,1,entertainment,Bengali hate speech ,খানকি মাগীর বাচ্ছা ইসলাম কি বোঝস খানকির বাচ্ছা খানকি
বাইন চুদের বাচ্চা এই গুজব খবর কথায় পাইছে আশরাফুল দুনিয়া ছেরে চলে গেছে এই চারালের বাচ্চার পাছা দিয়ে গরমরড ঢুকিয়ে দিতে হবে।,1,sports,Bengali hate speech ,বাইন চুদের বাচ্চা এই গুজব খবর কথায় পাইছে আশরাফুল দুনিয়া ছেরে চলে গেছে এই চারালের বাচ্চার পাছা দিয়ে গরমরড ঢুকিয়ে দিতে হবে।
তোর একটা বিকিনি পরা ছবি দিছ খানকি,1,"Meme, TikTok and others",Bengali hate speech ,তোর একটা বিকিনি পরা ছবি দিছ খানকি
বসেন বসেন বইসা যান তাহেরি তোর মার গুদ মার,1,religion,Bengali hate speech ,বসেন বসেন বইসা যান তাহেরি তোর মার গুদ মার
এই লুচ্চার ঘটনা খতিয়ে দেখার কিছু নেই আগে জুতো পেটা পরে খুচিযে খুঁচিয়ে দেখা দরকার ।,1,crime,Bengali hate speech ,এই লুচ্চার ঘটনা খতিয়ে দেখার কিছু নেই আগে জুতো পেটা পরে খুচিযে খুঁচিয়ে দেখা দরকার ।
খানকির ছেলে,1,sports,Bengali hate speech ,খানকির ছেলে
কবে জানি শুনতে হয় নুরু আর নাই😭😭😭😭,0,politics,Bengali hate speech ,কবে জানি শুনতে হয় নুরু আর নাই
ওকে দেখ তে চাই না বাংলাদেশ পুলিশ হিসাবে,0,"Meme, TikTok and others",Bengali hate speech ,ওকে দেখ তে চাই না বাংলাদেশ পুলিশ হিসাবে
বকাবকি না করাই ভালো পারলে কাজে প্রমাণ করুন,0,"Meme, TikTok and others",Bengali hate speech ,বকাবকি না করাই ভালো পারলে কাজে প্রমাণ করুন
যখন কুমিল্লায় ছিল তখন বাল ও ছিরতে পারে নাই ইম্রুল কায়েস,1,sports,Bengali hate speech ,যখন কুমিল্লায় ছিল তখন বাল ও ছিরতে পারে নাই ইম্রুল কায়েস
ওদের জন্য কান্না করে কুনুভাল নাই কারন এরা মানুষ রুপি জানোয়ার,1,crime,Bengali hate speech ,ওদের জন্য কান্না করে কুনুভাল নাই কারন এরা মানুষ রুপি জানোয়ার
সব চোর শেখ হাসিনা বলেন খালেদা বলেন তারেক জিয়া বলেন সব চোর উবাইদুল কাদের বলেন জয় বলেন এরা কেনো খমতা নিয়ে এতো লাফালাফি করে শুধু লুটপার করে খাওয়ার জন‍্য। দেশের কথা ভাবার মতো মানুষ নাই লক্ষ মানুষের মধ‍্যে একটা পাওয়া মুসকিল এবং যারা আমলীগ বিএনপি নিয়ে লাফালাফি করে সবাই নিজেদের সারথ্যর জন্য লাফালাফি করে দল খমতাই গেলে টেন্ডার বাজি ও খমতার অপব‍্যবহার করার জন্য এই মানুষ গুলির ভিতর কোন দেশ প্রেমের কোন নমূনা থাকেনা শুধু মুখেল বুলি।।,0,politics,Bengali hate speech ,সব চোর শেখ হাসিনা বলেন খালেদা বলেন তারেক জিয়া বলেন সব চোর উবাইদুল কাদের বলেন জয় বলেন এরা কেনো খমতা নিয়ে এতো লাফালাফি করে শুধু লুটপার করে খাওয়ার জন্য। দেশের কথা ভাবার মতো মানুষ নাই লক্ষ মানুষের মধ্যে একটা পাওয়া মুসকিল এবং যারা আমলীগ বিএনপি নিয়ে লাফালাফি করে সবাই নিজেদের সারথ্যর জন্য লাফালাফি করে দল খমতাই গেলে টেন্ডার বাজি ও খমতার অপব্যবহার করার জন্য এই মানুষ গুলির ভিতর কোন দেশ প্রেমের কোন নমূনা থাকেনা শুধু মুখেল বুলি।।
উয়ায়ায়ায়ায়ায়াক্ক উয়ায়ায়ায়ায়ায়ায়ায়াক্কক্কক্ক উয়ায়ায়ায়ায়ায়ায়ায়ায়ায়াক্কক্ক আমি শেষ।,0,celebrity,Bengali hate speech ,উয়ায়ায়ায়ায়ায়াক্ক উয়ায়ায়ায়ায়ায়ায়ায়াক্কক্কক্ক উয়ায়ায়ায়ায়ায়ায়ায়ায়ায়াক্কক্ক আমি শেষ।
ও মানুষ নামে পশু,1,"Meme, TikTok and others",Bengali hate speech ,ও মানুষ নামে পশু
সব কুত্তা রা কুত্তালিগের পাচাডা কুত্তা,1,politics,Bengali hate speech ,সব কুত্তা রা কুত্তালিগের পাচাডা কুত্তা
কই যাই সরম পাইছি,0,politics,Bengali hate speech ,কই যাই সরম পাইছি
এই চার লোককে জুতা মারো কুততার বাচচারা জুতা মারো চার জনের মুখে,1,religion,Bengali hate speech ,এই চার লোককে জুতা মারো কুততার বাচচারা জুতা মারো চার জনের মুখে
এগুলি রেন্ডিয়া মাদারচোদ দারা সম্ভাব,1,"Meme, TikTok and others",Bengali hate speech ,এগুলি রেন্ডিয়া মাদারচোদ দারা সম্ভাব
ঠিক কোই চেন বাই মেয়েটা দুস,0,crime,Bengali hate speech ,ঠিক কোই চেন বাই মেয়েটা দুস
বেগম জিয়া তো বড় কাদের কি,0,politics,Bengali hate speech ,বেগম জিয়া তো বড় কাদের কি
এসব টিভি চ্যাঁননেলও সাংবাদিকদের পুড়ে দেয়া হউক।,0,religion,Bengali hate speech ,এসব টিভি চ্যাঁননেলও সাংবাদিকদের পুড়ে দেয়া হউক।
শুয়োরের বাচ্চা এখন কেঁদে লাভ নেই কারণ অন্যায় করার আগে ভাবা উচিৎ ছিল এখন শুধু ফাঁসির দড়িতে ঝোলার অপেক্ষায় থাক ।,1,crime,Bengali hate speech ,শুয়োরের বাচ্চা এখন কেঁদে লাভ নেই কারণ অন্যায় করার আগে ভাবা উচিৎ ছিল এখন শুধু ফাঁসির দড়িতে ঝোলার অপেক্ষায় থাক ।
সুয়রের বাচ্চা ডাকাত লে লে করে কথা কয়,1,politics,Bengali hate speech ,সুয়রের বাচ্চা ডাকাত লে লে করে কথা কয়
খুবেই সুন্দৱ ছবি,0,entertainment,Bengali hate speech ,খুবেই সুন্দৱ ছবি
খানিক পুলা মাদার চুদ পাপন,1,sports,Bengali hate speech ,খানিক পুলা মাদার চুদ পাপন
সালা লুচ্চা বেদব,1,"Meme, TikTok and others",Bengali hate speech ,সালা লুচ্চা বেদব
খানকির পোলারা কি নায়োক 😡😡কি নাইকা 💗💗,1,entertainment,Bengali hate speech ,খানকির পোলারা কি নায়োক কি নাইকা 
সকলের বেতন। টাকা করা হউক।,0,sports,Bengali hate speech ,সকলের বেতন। টাকা করা হউক।
এই মাগি সবটাই ওরে দরা হোক,1,crime,Bengali hate speech ,এই মাগি সবটাই ওরে দরা হোক
পতিতালীগের নেএীরা এই রকম কথা বলবেই,1,politics,Bengali hate speech ,পতিতালীগের নেএীরা এই রকম কথা বলবেই
"জনাবের কথা গুলো বিশ্লেষণ করলে কিছু ভ্রান্ত ধারনা পাওয়া যায়, উনি বলেছেন কোটাবিরোধী আসলে সংস্কারবাদী আমরা, আন্দোলনে জনজীবন বিপত্তি যে প্রসঙ্গ টানলেন শাহবাগের আন্দোলনের সময় কোথায় ছিল তার মানবতা।শ্রদ্ধা করতাম আপনাকে এখন ভাবছি ভুল করেছি।",0,celebrity,Bengali hate speech ,"জনাবের কথা গুলো বিশ্লেষণ করলে কিছু ভ্রান্ত ধারনা পাওয়া যায়, উনি বলেছেন কোটাবিরোধী আসলে সংস্কারবাদী আমরা, আন্দোলনে জনজীবন বিপত্তি যে প্রসঙ্গ টানলেন শাহবাগের আন্দোলনের সময় কোথায় ছিল তার মানবতা।শ্রদ্ধা করতাম আপনাকে এখন ভাবছি ভুল করেছি।"
শাকিব খানকে চলচ্চিত্র থেকে বহিষ্কার করা হোক আমরা তাই চাই,0,"Meme, TikTok and others",Bengali hate speech ,শাকিব খানকে চলচ্চিত্র থেকে বহিষ্কার করা হোক আমরা তাই চাই
মাসুদ রানা কে তিনটা বিচিওয়ালা মানুষ 😒,1,entertainment,Bengali hate speech ,মাসুদ রানা কে তিনটা বিচিওয়ালা মানুষ 
আগে নিজেদের কাগজ সঠিক করেন,0,politics,Bengali hate speech ,আগে নিজেদের কাগজ সঠিক করেন
মিন্নির মাগীর ফাসি চাই।,1,crime,Bengali hate speech ,মিন্নির মাগীর ফাসি চাই।
"এক শ্রেণির চুতিয়া, মাদার*দ আছে এরা আজ ৩ দিন জাফর স্যারের কলাম নিয়ে খুব প্রশ্ন তুলেছে। শালারা এটাই জানে না যে স্যার কবে কবে কলাম লিখে। ওই সব ভন্ডদের মুখে থুথু মারি যারা জাফর স্যার কে বিতর্কিত করার চেষ্টা করেছে।",1,celebrity,Bengali hate speech ,"এক শ্রেণির চুতিয়া, মাদার*দ আছে এরা আজ ৩ দিন জাফর স্যারের কলাম নিয়ে খুব প্রশ্ন তুলেছে। শালারা এটাই জানে না যে স্যার কবে কবে কলাম লিখে। ওই সব ভন্ডদের মুখে থুথু মারি যারা জাফর স্যার কে বিতর্কিত করার চেষ্টা করেছে।"
এই মূর্খদের সাথে কথা বলাই উচিত না।,0,religion,Bengali hate speech ,এই মূর্খদের সাথে কথা বলাই উচিত না।
অপু আপা কি বুকে দম নিয়ে বলতে পারবেন উনার স্বামী জনগনের ভোটে নির্বাচিত হয়ে এম পি হয়েছেন।,0,politics,Bengali hate speech ,অপু আপা কি বুকে দম নিয়ে বলতে পারবেন উনার স্বামী জনগনের ভোটে নির্বাচিত হয়ে এম পি হয়েছেন।
