text,task_1,task_2,Processed_Post,Labels Set
"@SheilaDikshit @ArvindKejriwal बिना अफवाह फैलाये 
भोजन पचेगा कैसे इस छछुंदर को?",1,OFFN,बिना अफवाह फैलाये भोजन पचेगा कैसे इस छछुंदर को,1
@ShilpiSinghINC लेकिन उस मशीन से भी कोठे वालियों का पाप नही धुलता।,1,OFFN,लेकिन उस मशीन से भी कोठे वालियों का पाप नही धुलता,1
@ursrashi हा चाटना हा मस्त,1,PRFN,हा चाटना हा मस्त,1
"RT @TajinderBagga: अगर नेहरू जी देश का बंटवारा न करवाते तो पाकिस्तान नही होता, अगर पाकिस्तान नही होता तो आतंकवाद न होता, अगर आतंकवाद न होता…",0,NONE,अगर नेहरू जी देश का बंटवारा न करवाते तो पाकिस्तान नही होता अगर पाकिस्तान नही होता तो आतंकवाद न होता अगर आतंकवाद न होता,0
RT @alok_ajay: अरे @RahulGandhi जी और @yadavtejashwi छठे चरण चल रहे हैं आँख खुली या अभी भी शतुर्मुर्ग !! मोदी मय माहौल इसी को कहते हैं । बि…,1,OFFN,अरे जी और छठे चरण चल रहे हैं आँख खुली या अभी भी शतुर्मुर्ग मोदी मय माहौल इसी को कहते हैं बि,1
"RT @Umashankar_khad: आप वोटर हैं राहुल गांधी के बाप नही जो उसका बचपना बर्दाश्त करें
अपने बच्चों के भविष्य के लिए वोट करें, सोनिया के बच्चे…",1,OFFN,आप वोटर हैं राहुल गांधी के बाप नही जो उसका बचपना बर्दाश्त करें अपने बच्चों के भविष्य के लिए वोट करें सोनिया के बच्चे,1
"RT @lncMohitJain: यह आगये फेंकूँ के बाप,
यह तो विधि का विधान ही बदलने की बोल रहें !!
इतना कितना अहंकार आगया !!

लगता हैं अंत समय निकट आगया…",0,NONE,यह आगये फेंकूँ के बाप यह तो विधि का विधान ही बदलने की बोल रहें इतना कितना अहंकार आगया लगता हैं अंत समय निकट आगया,0
@sambit_swaraj1 गुजरात मे क्या मुसलमान के सिवा किसी और को मारा था क्या. दंगे का डिफिनेसन करने वालों,1,HATE,गुजरात मे क्या मुसलमान के सिवा किसी और को मारा था क्या दंगे का डिफिनेसन करने वालों,1
@LambaAlka जिसको पार्टी ने सम्मान दिया केंद्रीय मंत्री बनाता उसके बाद 1लाख 60 हजार वोट पाकर चौथे स्थान पर रहा फिर भी बंगाल चुनाव का प्रभारी बनाया कांग्रेस का एक विधायक भी नही जीता पाया भाजपा में चले गए वहाँ हालत गुलामो की तरह होगी चुप रहो बैठे रहो हाफपैंट पहनो और--?,0,NONE,जिसको पार्टी ने सम्मान दिया केंद्रीय मंत्री बनाता उसके बाद लाख हजार वोट पाकर चौथे स्थान पर रहा फिर भी बंगाल चुनाव का प्रभारी बनाया कांग्रेस का एक विधायक भी नही जीता पाया भाजपा में चले गए वहाँ हालत गुलामो की तरह होगी चुप रहो बैठे रहो हाफपैंट पहनो और,0
"RT @SiddharthAulia: याद रखना बिना कर्म के मुक्त नहीं हो सकते हो। पहले कर्म तुमने सकाम किया, फल की प्राप्ति के लिए किया। अब केवल कर्म करने…",0,NONE,याद रखना बिना कर्म के मुक्त नहीं हो सकते हो पहले कर्म तुमने सकाम किया फल की प्राप्ति के लिए किया अब केवल कर्म करने,0
"RT @JBMIS: इस बार सोनिया जामा मस्जिद नहीं गई 

न कोई पार्टी वाले इफ्तार पार्टी दे रहे है 
हिन्दू जागा, शैतान भागा",1,OFFN,इस बार सोनिया जामा मस्जिद नहीं गई न कोई पार्टी वाले इफ्तार पार्टी दे रहे है हिन्दू जागा शैतान भागा,1
@narendramodi @MamataOfficial जब 1947 में हिंदुओं का कत्लेआम हो रहा था तब मोहनदास गांधी भी धरने पर बैठे थे।  अब जरा गोडसे के गुस्से की कल्पना करिए!  #BengalBurning  #BengalViolence,1,HATE,जब में हिंदुओं का कत्लेआम हो रहा था तब मोहनदास गांधी भी धरने पर बैठे थे अब जरा गोडसे के गुस्से की कल्पना करिए,1
@nshuklain    जी का अकाउंट क्यों सस्पेंड कर दिया कम्युनिस्ट के नाजायज औलाद और कांग्रेसियों के पाले हुए कुत्ते कन्वर्जन और आतंकवादी डिजिटल आतंकवादी नितिन शुक्ला जी  को वापस  कर अकाउंट #RestoreNitinShukla,1,PRFN,जी का अकाउंट क्यों सस्पेंड कर दिया कम्युनिस्ट के नाजायज औलाद और कांग्रेसियों के पाले हुए कुत्ते कन्वर्जन और आतंकवादी डिजिटल आतंकवादी नितिन शुक्ला जी को वापस कर अकाउंट,1
"ये बंगाल की CM ममता बनर्जी नही है,ये Terror की आका डायन है👹जो बंगाल मे TMC पार्टी के आतंकवादी जिहादीयोंसे बलात्कार,खुन,खराबा बंमबारी कराती है  #TMCTerror #TMCGoons #BengalBurning #BengalViolence #MamtaisTerrorist #ArrestMamta #ShameOnDiaonMamta #ShameOnTerroristMamtaBanerjee https://t.co/hvcEP4WulT",1,OFFN,ये बंगाल की ममता बनर्जी नही हैये की आका डायन हैजो बंगाल मे पार्टी के आतंकवादी जिहादीयोंसे बलात्कारखुनखराबा बंमबारी कराती है,1
@asadowaisi मौत नहीं ये हत्या है। #JusticeForShahabuddin,0,NONE,मौत नहीं ये हत्या है,0
"RT @beingchanchal_: मतदान अवश्य करे।
आपकी इच्छा है,
चाहे तो बीजेपी को करे,
चाहे मोदी के करे,
चाहे कमल को करे,
परन्तु मतदान जरूर करे।।
#Phas…",0,NONE,मतदान अवश्य करे आपकी इच्छा है चाहे तो बीजेपी को करे चाहे मोदी के करे चाहे कमल को करे परन्तु मतदान जरूर करे,0
RT @Dr_Uditraj: डॉ अम्बेडकर ने आरक्षण के लिए संघर्ष किया ताकि दलित MLA/MP या कुछ हों तो अपने समाज के लिए भी करें ना की अपना पेट पालें।मैं…,0,NONE,डॉ अम्बेडकर ने आरक्षण के लिए संघर्ष किया ताकि दलित या कुछ हों तो अपने समाज के लिए भी करें ना की अपना पेट पालेंमैं,0
"I think we should stop saying anything about Kangna Buri bimari , dirty logon k name nhi lena chahiye  Hmm naam lekar bina matlbdirty  mentally sick lady ko trend krr rhe I request  Not to take ,call. Write her name  As she is BAD OMEN  #ResignModi  #कृषि_कानून_रद्द_करने_पड़ेंगे",1,OFFN,कृषिकानूनरद्दकरनेपड़ेंगे,1
@RiteshS71225369 🤨🤔😜ये तो कुतीया लग रही है 🤪,1,PRFN,ये तो कुतीया लग रही है,1
"@kunalkamra88 हरे रंग को खुश करने में,
तुमने भगवा को नीलाम किया,
अरे सियासी कलमुहो ये बहुत घिनोना काम किया,
खत्म करनी तुम्हारी नोटनकी है,
#भगवा मेरी जान है.",1,HATE,हरे रंग को खुश करने में तुमने भगवा को नीलाम किया अरे सियासी कलमुहो ये बहुत घिनोना काम किया खत्म करनी तुम्हारी नोटनकी है भगवा मेरी जान है,1
चुनाव में लाखों की भीड ओर धरना VVIP आज जरूरत है ऑक्सीजन व ईलाज की ओर ये जनता को भडका रहे हैं।भाजपा हैं दंगा पार्टी। #OxygenShortage #Corona #bangalviolence #tmcgoons #BJP #AAP @abhisar_sharma @MamataOfficial @RahulGandhi @ArvindKejriwal #ResignModi #IndiaFightsCorona https://t.co/io58c6VdLb,1,HATE,चुनाव में लाखों की भीड ओर धरना आज जरूरत है ऑक्सीजन व ईलाज की ओर ये जनता को भडका रहे हैंभाजपा हैं दंगा पार्टी,1
@RahulGandhi भाजपा के द्वारा 20.000 करोड़ लगा कर और चुनाव आयोग को हाई जेक करकर भी यदि भाजपा बंगाल में चुनाव हार रही हे तो ये फ़क़ीर की व्यक्तिगत हार हे #ResignPMmodi #BengalElection2021 #KhelaHobe,1,HATE,भाजपा के द्वारा करोड़ लगा कर और चुनाव आयोग को हाई जेक करकर भी यदि भाजपा बंगाल में चुनाव हार रही हे तो ये फ़क़ीर की व्यक्तिगत हार हे,1
@Sarcasm_Villa एक कुतिया का निर्माण-बेला पोर्च,0,NONE,एक कुतिया का निर्माणबेला पोर्च,0
"RT @BrijeshDevi_IND: @pantlp @DRNRRAWAT @SachinPilot बहुत ही घमंडी, स्वार्थी इंसान है जैसे जैसे लोग जान रहे हैं सौन्दर्यशास्त्र का ग्लैमर ख…",1,OFFN,बहुत ही घमंडी स्वार्थी इंसान है जैसे जैसे लोग जान रहे हैं सौन्दर्यशास्त्र का ग्लैमर ख,1
"हमे तमाम सिस्टम मिलकर,मार रहे है।  #JusticeForShahabuddin",0,NONE,हमे तमाम सिस्टम मिलकरमार रहे है,0
"चुनाव आयोग ने गिरिराज सिंह को 'कब्र' वाले बयान के लिए चेतावनी दी #Election2019 #Electionswithndtv 

https://t.co/NUitYThlSF",0,NONE,चुनाव आयोग ने गिरिराज सिंह को कब्र वाले बयान के लिए चेतावनी दी,0
@musaafirdev अब तीसरा कुत्ता आया शोभा देने😷😷,1,OFFN,अब तीसरा कुत्ता आया शोभा देने,1
"RT @Aamitabh2: मैं गमों की धूप में जब तेरा नाम लेके निकला 
तेरा रहमतों का साया ये करम नहीं तो क्या है ------",0,NONE,मैं गमों की धूप में जब तेरा नाम लेके निकला तेरा रहमतों का साया ये करम नहीं तो क्या है,0
"RT @IM_SarikaaDixit: एक बाबरी ढाचा क्या टूटा था , तब से  मुसलमान आज तक भाजपा को वोट नहीं देता..

लाखों मंदिर कांग्रेस ने तुड़वाए फिर भी हिं…",1,HATE,एक बाबरी ढाचा क्या टूटा था तब से मुसलमान आज तक भाजपा को वोट नहीं देता लाखों मंदिर कांग्रेस ने तुड़वाए फिर भी हिं,1
"ये बंगाल की CM ममता बनर्जी नही है,ये Terror की आका डायन है👹जो बंगाल मे TMC पार्टी के आतंकवादी जिहादीयोंसे बलात्कार,खुन,खराबा बंमबारी कराती है  #TMCTerror #TMCGoons #BengalBurning #BengalViolence #MamtaisTerrorist #ArrestMamta #ShameOnDiaonMamta #ShameOnTerroristMamtaBanerjee https://t.co/mT4YIK2jy9",1,OFFN,ये बंगाल की ममता बनर्जी नही हैये की आका डायन हैजो बंगाल मे पार्टी के आतंकवादी जिहादीयोंसे बलात्कारखुनखराबा बंमबारी कराती है,1
"ये बंगाल की CM ममता बनर्जी नही है,ये Terror की आका डायन है👹जो बंगाल मे TMC पार्टी के आतंकवादी जिहादीयोंसे बलात्कार,खुन,खराबा बंमबारी कराती है  #TMCTerror #TMCGoons #BengalBurning #BengalViolence #MamtaisTerrorist #ArrestMamta #ShameOnDiaonMamta #ShameOnTerroristMamtaBanerjee https://t.co/ql1TR7w2HC",1,OFFN,ये बंगाल की ममता बनर्जी नही हैये की आका डायन हैजो बंगाल मे पार्टी के आतंकवादी जिहादीयोंसे बलात्कारखुनखराबा बंमबारी कराती है,1
@PremMis05662422 @ShradhaNaik2 @sunderpal25 @TheAbhishek_IND उल्टा लटका के मारना चाहिये हरामी को,1,OFFN,उल्टा लटका के मारना चाहिये हरामी को,1
साक्षी भाभी सोचती है उन्ही के पास जानवर है पालतू बस  भैया मतलब सैयां को कभी झारखंड के लोगो के लिए मदद करने को प्रेरित करे तो महान काम होगा,1,OFFN,साक्षी भाभी सोचती है उन्ही के पास जानवर है पालतू बस भैया मतलब सैयां को कभी झारखंड के लोगो के लिए मदद करने को प्रेरित करे तो महान काम होगा,1
भगवान के घर देर है अंधेर नही उनकी लाठी का आवाज़ भी नहीं आता है @MamataOfficial  #CruelMamata  #BengalBurning https://t.co/4zczt9tFIU,0,NONE,भगवान के घर देर है अंधेर नही उनकी लाठी का आवाज़ भी नहीं आता है,0
मामू भी वैक्सीन लगवाने को तयार नही #ModiKaVaccineJumla,0,NONE,मामू भी वैक्सीन लगवाने को तयार नही,0
यक़ीन नही हो पा रहा है। 💔  #ShahabuddinSaheb #JusticeForShahabuddin https://t.co/U7RaAFjfFW,0,NONE,यक़ीन नही हो पा रहा है,0
#JMDNewsFLASH #MP   रेमडेसिविर इंजेक्शन ले जा रहे विमान की ग्वालियर में क्रैश लैंडिंग  मध्य प्रदेश सरकार के स्टेट प्लेन की ग्वालियर में क्रैश लैंडिंग हुई. हादसे में दोनों पायलट सुरक्षित हैं  क्रैश लैंडिंग के दौरान सभी इंजेक्शन भी सुरक्षित हैं #Remedisivir  #CovidVaccine  @MPGovt https://t.co/iwiiM7UYL0,0,NONE,रेमडेसिविर इंजेक्शन ले जा रहे विमान की ग्वालियर में क्रैश लैंडिंग मध्य प्रदेश सरकार के स्टेट प्लेन की ग्वालियर में क्रैश लैंडिंग हुई हादसे में दोनों पायलट सुरक्षित हैं क्रैश लैंडिंग के दौरान सभी इंजेक्शन भी सुरक्षित हैं,0
@shivam1b @RoflRangeela गधा सबसे मेहनती जानवर होता उसके जितना संघर्ष कोई नही करता फिर भी उसकी कदर कोई नही करता है भाई🤗,0,NONE,गधा सबसे मेहनती जानवर होता उसके जितना संघर्ष कोई नही करता फिर भी उसकी कदर कोई नही करता है भाई,0
"@YParashari @BBCHindi अब होत का,जब कुतिया बिलबिलाए",1,OFFN,अब होत काजब कुतिया बिलबिलाए,1
गर्लफ्रेंड के वफदार् इतने भी मत बनो की एक दिन वो तुम्हें कुत्ता बना दे....  ट्विटर ज्योतिष निक कहींन😷😷,0,NONE,गर्लफ्रेंड के वफदार् इतने भी मत बनो की एक दिन वो तुम्हें कुत्ता बना दे ट्विटर ज्योतिष निक कहींन,0
@loshiniiiiiii @AshwiniiVasu What is this mann? Nee rombe late lah aiyoo,0,NONE,,0
@narendramodi ONCE IN A CENTURY  @narendramodi @PMOIndia  #मनहुस_मोदी का साया मेरे देश के ऊपर से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है  #ResignModi मानवता केलिऐ #Resign_PM_Modi देशभक्त हो तो,0,NONE,मनहुसमोदी का साया मेरे देश के ऊपर से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है मानवता केलिऐ देशभक्त हो तो,0
"RT @agrey_sangita: बुरे दिन शुरू👇👇👇
अगर राहुल भारतीय नागरिक कहें तो
         विदेशी संपत्ति जब्त,
  और विदेशी नागरिक कहें तो…",0,NONE,बुरे दिन शुरू अगर राहुल भारतीय नागरिक कहें तो विदेशी संपत्ति जब्त और विदेशी नागरिक कहें तो,0
#JusticeForShahabuddin गांड फाटे तो लाख उपाय मर के सहाबुद्दीन जन्नत को जाए यही जस्टिस है। उसका उसको मिल गया आपको चाहिए तो बताओ खोल के बेठो आते है।।।,1,PRFN,गांड फाटे तो लाख उपाय मर के सहाबुद्दीन जन्नत को जाए यही जस्टिस है उसका उसको मिल गया आपको चाहिए तो बताओ खोल के बेठो आते है,1
"वैक्सीन लगाने के‌ लक्ष्य से मोदी सरकार कोसों दूर है,इस समय ऑक्सीजन आयात करो को मुद्दा बनाया है,कोरोना की अगली आंधी में नर्स-डाक्टर आयात करो मुद्दा रहेगा। #ModiKaVaccineJumla",0,NONE,वैक्सीन लगाने के लक्ष्य से मोदी सरकार कोसों दूर हैइस समय ऑक्सीजन आयात करो को मुद्दा बनाया हैकोरोना की अगली आंधी में नर्सडाक्टर आयात करो मुद्दा रहेगा,0
"@anjalideshbhkt दो मिनट का मौन उनके लिए भी जिनको बंगाल में चुनावी रैली दिखी ,  कोरोना दिखा किन्तु अब हिंसा , लूट अग्निकांड और महिलाओं को लुटती इज़्ज़त नहीं दिख रहीं 😡😡  #PresidentsRuleinBengal  #BengalBurning  #BengalViolence  #KhooniKhela  #WestBengalViolence",0,NONE,दो मिनट का मौन उनके लिए भी जिनको बंगाल में चुनावी रैली दिखी कोरोना दिखा किन्तु अब हिंसा लूट अग्निकांड और महिलाओं को लुटती इज़्ज़त नहीं दिख रहीं,0
@SunilAstay @Uppolice फाँसी हो इस हरामी को,1,OFFN,फाँसी हो इस हरामी को,1
Priorities🤦🏼 #ResignModi https://t.co/yu9OXGfuJP,0,NONE,,0
जब तुम पैजामा पहनना सीखे भी नही थे न तब साहब ने तुम्हारी माँ को ताज पहनाया था भूल गए @yadavtejashwi  #JusticeForShahabuddin  #BycottRJD,0,NONE,जब तुम पैजामा पहनना सीखे भी नही थे न तब साहब ने तुम्हारी माँ को ताज पहनाया था भूल गए,0
"RT @RJDforIndia: अरे वो लतख़ोर प्राणी, तू अपनी बता तेरा लाला क्या कर रहा है? जाकर अपनी अस्पताल के कागज-पत्री ठीक करा ले कितने दिन पलटू के…",0,NONE,अरे वो लतख़ोर प्राणी तू अपनी बता तेरा लाला क्या कर रहा है जाकर अपनी अस्पताल के कागजपत्री ठीक करा ले कितने दिन पलटू के,0
#IsupportModi   #राष्ट्रपति_जी_बंगाल_संभालो #CruelMamata #BengalBurning #ModiGovtSeNaHoPayega  Before Election         After Election          Hindu &amp; Muslim              Hindus https://t.co/GPexPPwEal,0,NONE,राष्ट्रपतिजीबंगालसंभालो,0
"@zoo_bear @Pooja_Chaudhuri उसने अंदर सुअर लिखा हुआ है भाई, Muसl_मान किसने और कैसे डिकोड कर दिया इसको? 😑 😭😭 https://t.co/FQJ3AnbslP",1,PRFN,उसने अंदर सुअर लिखा हुआ है भाई समान किसने और कैसे डिकोड कर दिया इसको,1
RT @BJP4UP: हमारा प्रयास है कि आने वाले दो वर्ष में हर गांव हर घर को 24 घंटे बिजली दी जाए: मुख्यमंत्री श्री योगी आदित्यनाथ #DeshBoleModiPhi…,0,NONE,हमारा प्रयास है कि आने वाले दो वर्ष में हर गांव हर घर को घंटे बिजली दी जाए मुख्यमंत्री श्री योगी आदित्यनाथ,0
"@Yogita_singh11 नकली गाँधियों की तरह अपने बाप के नाम पर जीने वाले सिर्फ कुत्ते होते हैं, और कुत्तों को भोंकने के अलावा कोई काम नहीं होता। 

राजस्थानी के नाम पर कलंक, गद्दारों के जूते चाटने वाले वही राजस्थानी हैं जिन्होंने मुगलों का साथ देकर अपने ही भाइयों को मरवाया था।",1,HATE,नकली गाँधियों की तरह अपने बाप के नाम पर जीने वाले सिर्फ कुत्ते होते हैं और कुत्तों को भोंकने के अलावा कोई काम नहीं होता राजस्थानी के नाम पर कलंक गद्दारों के जूते चाटने वाले वही राजस्थानी हैं जिन्होंने मुगलों का साथ देकर अपने ही भाइयों को मरवाया था,1
@ChitranjanGaga1 @RJDforIndia @sardanarohit कोरोना पॉजिटिव था उसको अपने गाव कुरूक्षेत्र ले जाया गया और डॉ मोहम्मद शहाबुद्दीन साहब नेगेटिव थे तो उनको दिल्ली का कब्रिस्तान वो भी दिल्ली @ArvindKejriwal Govt और प्रशासन ने अपने मर्ज़ी से दिया? कितना मुश्किल है इस मुल्क में मुसलमान होना😥  #JusticeForShahabuddin,0,NONE,कोरोना पॉजिटिव था उसको अपने गाव कुरूक्षेत्र ले जाया गया और डॉ मोहम्मद शहाबुद्दीन साहब नेगेटिव थे तो उनको दिल्ली का कब्रिस्तान वो भी दिल्ली और प्रशासन ने अपने मर्ज़ी से दिया कितना मुश्किल है इस मुल्क में मुसलमान होना,0
क्या ऊर्दू नाम की वजह से सबके मुंह बंद है 😒  #JusticeForShahabuddin https://t.co/kaIe5rKgOk,0,NONE,क्या ऊर्दू नाम की वजह से सबके मुंह बंद है,0
@MrsGandhi अगर घर वाले कुत्ते को अकेला छोड़ के जाते हैं तो कुत्ता अवश्य भोंकता है।,1,OFFN,अगर घर वाले कुत्ते को अकेला छोड़ के जाते हैं तो कुत्ता अवश्य भोंकता है,1
@beingarun28 तू रोहित सरदाना की profile लगा कर क्या साबित करना चाहता है। तुम्हारी सरकार की mismanagement ki वजह से उस जैसे हजारों लोग मरे हैं। #DeleteFacebook #BengalBurning #RohitSardana,1,HATE,तू रोहित सरदाना की लगा कर क्या साबित करना चाहता है तुम्हारी सरकार की वजह से उस जैसे हजारों लोग मरे हैं,1
@KuchBhi03 Graound report hai bhai sare chutiye Gurgaon me baste hai,1,PRFN,,1
पानी की कमी से संकट में मरीज डेंटल कॉलेज में टालनी पड़ी सर्जरी https://t.co/HsTuYezgzy,0,NONE,पानी की कमी से संकट में मरीज डेंटल कॉलेज में टालनी पड़ी सर्जरी,0
RT @ankurNBT: पूर्व डीजीपी सुलखान सिंह का सिख दंगों को लेकर बड़ा बयान- 1984 में सिखों के खिलाफ हुई मारकाट कोई दंगा नहीं था।  यह राजीव गांधी…,1,HATE,पूर्व डीजीपी सुलखान सिंह का सिख दंगों को लेकर बड़ा बयान में सिखों के खिलाफ हुई मारकाट कोई दंगा नहीं था यह राजीव गांधी,1
बस सर आपका हर बार की तरह ये भी उल्टा हो जाये,0,NONE,बस सर आपका हर बार की तरह ये भी उल्टा हो जाये,0
"@sherryontopp तू मूर्ख है क्या ? चोरनिया के तलवे चाटने के बाद दिमाग खराब हो गया क्या ?
ये वर्ल्ड हंगर इंडेक्स क्या पिछले 5 सालों में आया है बेवकूफ़ इंसान ?",1,OFFN,तू मूर्ख है क्या चोरनिया के तलवे चाटने के बाद दिमाग खराब हो गया क्या ये वर्ल्ड हंगर इंडेक्स क्या पिछले सालों में आया है बेवकूफ़ इंसान,1
"ये बंगाल की CM ममता बनर्जी नही है,ये Terror की आका डायन है👹जो बंगाल मे TMC पार्टी के आतंकवादी जिहादीयोंसे बलात्कार,खुन,खराबा बंमबारी कराती है  #TMCTerror #TMCGoons #BengalBurning #BengalViolence #MamtaisTerrorist #ArrestMamta #ShameOnDiaonMamta #ShameOnTerroristMamtaBanerjee https://t.co/NYOCHQEZ4H",1,OFFN,ये बंगाल की ममता बनर्जी नही हैये की आका डायन हैजो बंगाल मे पार्टी के आतंकवादी जिहादीयोंसे बलात्कारखुनखराबा बंमबारी कराती है,1
"RT @BJP4Bihar: चुनावों में अपनी हार स्पष्ट देख कर महामिलावटी दल गुंडागर्दी पर उतर आये हैं।
बेतिया में #NDA प्रत्याशी श्री @sanjayjaiswalMP…",1,HATE,चुनावों में अपनी हार स्पष्ट देख कर महामिलावटी दल गुंडागर्दी पर उतर आये हैं बेतिया में प्रत्याशी श्री,1
"RT @narendramodi_in: जब इन्हें लोगों को मौका मिला तो इन लोगों ने कोयला घोटाला कर दिया।

जब मुझे सेवा का अवसर मिला तो मैंने 7 करोड़ गरीब मा…",0,NONE,जब इन्हें लोगों को मौका मिला तो इन लोगों ने कोयला घोटाला कर दिया जब मुझे सेवा का अवसर मिला तो मैंने करोड़ गरीब मा,0
"RT @BJP4India: जब इन्हें मौका मिला, तो इन लोगों ने अपने लिए लाखों-करोड़ों के बंगले बना लिए। 

जब मुझे सेवा का अवसर मिला तो मैंने मेरा बंगला…",1,HATE,जब इन्हें मौका मिला तो इन लोगों ने अपने लिए लाखोंकरोड़ों के बंगले बना लिए जब मुझे सेवा का अवसर मिला तो मैंने मेरा बंगला,1
ट्रेंड रुकना नहीं चाहिए आप लिखते रहिए  #JusticeForShahabuddin,0,NONE,ट्रेंड रुकना नहीं चाहिए आप लिखते रहिए,0
@ArvindKejriwal अबे गटर के कीड़े केजरीवाल तेरे बच्चे जो हैं उन्हें पैदा करने में भी मोदी जी का हाथ है फिर तो।,1,OFFN,अबे गटर के कीड़े केजरीवाल तेरे बच्चे जो हैं उन्हें पैदा करने में भी मोदी जी का हाथ है फिर तो,1
जो लोग सवाल नहीं उठाते  वे पाखंडी हैं  जो सवाल नहीं कर सकते वे मूर्ख हैं  जिनके ज़हन में  सवाल उभरता ही नहीं  वे गुलाम हैं  –जॉर्ज गार्डन बायरन,0,NONE,जो लोग सवाल नहीं उठाते वे पाखंडी हैं जो सवाल नहीं कर सकते वे मूर्ख हैं जिनके ज़हन में सवाल उभरता ही नहीं वे गुलाम हैं जॉर्ज गार्डन बायरन,0
"हे सगळे.. फक्त आणि फक्त आपल्या इस्टेटी, मालमत्ता, आणि अवैध मार्गाने कमावलेल्या संपत्तीचं संरक्षण करण्यासाठी पक्ष बदलतात.‌ उद्या सतेची चक्र फिरली की पुन्हा नव्या पक्षात जाणार..हे बीन पेंदीचे लौटे आहेत.. @sanjaykumthek10 @KhadseVasant @aSantoshTweets @Pradeep67231171 https://t.co/Oy3FuFjC1e",0,NONE,हे सगळे फक्त आणि फक्त आपल्या इस्टेटी मालमत्ता आणि अवैध मार्गाने कमावलेल्या संपत्तीचं संरक्षण करण्यासाठी पक्ष बदलतात उद्या सतेची चक्र फिरली की पुन्हा नव्या पक्षात जाणारहे बीन पेंदीचे लौटे आहेत,0
"RT @Nationalist_RSS: @RubikaLiyaquat बहन आपको क्या लगता है, ये बच्चे अपने आप नारेबाजी कर रहे है।
अनजान ना बनो मैडम,, 
बच्चो से बुलवाया गया…",0,NONE,बहन आपको क्या लगता है ये बच्चे अपने आप नारेबाजी कर रहे है अनजान ना बनो मैडम बच्चो से बुलवाया गया,0
प्रधानमंत्री की हाल में की गई घोषणा व केजरीवाल के पिछले कुछ दिनों के वीडियो को मिलाकर बनाया गया यह वीडियो अवश्य देखें!  #केजरीवाल_दोगला_है https://t.co/7PVWsoRTgl,0,NONE,प्रधानमंत्री की हाल में की गई घोषणा व केजरीवाल के पिछले कुछ दिनों के वीडियो को मिलाकर बनाया गया यह वीडियो अवश्य देखें केजरीवालदोगलाहै,0
अच्छा किया मेरे बाप दादाऔ ने 70 साल तक कांग्रेस को वोट देकर मै ही गधा था जो कुछ अलग करने निकला😌😔आज देश भुगत रहा है #AndhBhakt #ModiResign #ResignModi #ResignPMmodi #Resign_PM_Modi #ModiMustResign #ModiResignOrRepeal #ModiKaVaccineJumla #ModiHataoDeshBachao #BJP_MP_MLA_Missing https://t.co/lx4rvBM6nS,1,HATE,अच्छा किया मेरे बाप दादाऔ ने साल तक कांग्रेस को वोट देकर मै ही गधा था जो कुछ अलग करने निकलाआज देश भुगत रहा है,1
"RT @mayank2407530: #SpiritualSunday12thMay
इंसान जब सत्संग में आता है तो उसके बुरे कर्म ख़त्म होते चले जाते हैं और नेक व भले कर्म बनते चले…",0,NONE,इंसान जब सत्संग में आता है तो उसके बुरे कर्म ख़त्म होते चले जाते हैं और नेक व भले कर्म बनते चले,0
#OPS #BanEVM #पुरानी_पेंशन_बहाल_करो #FarmersProtest #SpeakUpForFarmers #StopPrivatization #ModiMadeDisaster #NPS_भारत_छोड़ो #NPS_QUIT_INDIA #NPSनिजीकरणभारतछोड़ो #OPS_कर्मचारी_का_अधिकार #NPSनिजीकरणकेख़िलाफ़_इंक़लाब #स्वास्थ्य_क्षेत्र_मे_बजट_बढ़ाओ #Resign_PM_Modi #Vaccine_और_MSP_दो https://t.co/xilbVVjz7B,0,NONE,पुरानीपेंशनबहालकरो भारतछोड़ो निजीकरणभारतछोड़ो कर्मचारीकाअधिकार निजीकरणकेख़िलाफ़इंक़लाब स्वास्थ्यक्षेत्रमेबजटबढ़ाओ औरदो,0
"#Resign_PM_Modi मोदी जी Please, झोला फटाफट उठाकर निकल लें, दया करें  अब   गुफा भी कैमरों के साथ तैयार है बहुत सारे पौगां पंडितों की झूठी सच्चे कथायें कहते रहते । एक और चलने लगेगा।  आप भी ख़ुश और जनता बहुत खुश",1,OFFN,मोदी जी झोला फटाफट उठाकर निकल लें दया करें अब गुफा भी कैमरों के साथ तैयार है बहुत सारे पौगां पंडितों की झूठी सच्चे कथायें कहते रहते एक और चलने लगेगा आप भी ख़ुश और जनता बहुत खुश,1
स्तुति ...ई लव यू 😂,0,NONE,स्तुति ई लव यू,0
@PANKAJPARASHAR_ @Deepak34222156 इस तरह से जानवर भी नहीं करते हैं............ भी बढ़कर है,0,NONE,इस तरह से जानवर भी नहीं करते हैं भी बढ़कर है,0
"RT @SelfRspectFirst: ""Happy Mother"" #mothersday 
कबीर साहेब ही असली माता और पिता है, तभी तो उनके कहते है की ""तुम्ही हो माता, पिता तुम्ही हो…",0,NONE,कबीर साहेब ही असली माता और पिता है तभी तो उनके कहते है की तुम्ही हो माता पिता तुम्ही हो,0
