GENERIC CATEGORIES,CATEGORY,SUB-CATEGORY,PRODUCT,BRAND,ASPECTS,ASPECT COMBO,LABEL,INDIC REVIEW
Pets,Dogs,Grooming,Dematting tool,Petlicious & More,"all-in-one tool, 2-in-one dual head, safe,","Furry dog, safe",Positive,লম্বা চুলের কুকুরের জন্য ডিজাইন করা হয়েছে যাতে সহজেই ম্যাট ও ট্যাঙ্গেল সরানো যায়। পোষা ডিম্যাটার ব্রাশের ফলকগুলি ভিতরের দিকে তীক্ষ্ণ কিন্তু বাইরের প্রান্তে গোলাকার। এই ডিজাইনটি সংবেদনশীল ত্বক সঙ্গে পোষা প্রাণীদের জন্য সুপারিশ করা হয়।
Health/Wellness,Living,Stay/ Experience,Hotels/ Lodges,The Opus- A Boutique Hotel,"Single/double bed, safety, restaurant attached, TV, AC/Non AC, cleanliness, attached bathroom and toilet, ambience, location, wifi, parking, laundry service, price/billing","Restaurant attached, AC/Non-AC, cleanliness, wifi, price/billing",Positive,"ছোট কিন্তু আরামদায়ক এবং পরিচ্ছন্ন কক্ষ সহ খুব সুন্দর হোটেল যেখানে এসি এবং নন-এসি উভয় বিকল্প রয়েছে বিনামূল্যে ওয়াইফাই সহ পুরো হোটেল জুড়ে চমৎকার কভারেজ রয়েছে, তাদের সমস্ত লজারের স্বাদ অনুসারে। তাদের রয়্যাল কোটয়ার্ড খাবার ছিল সুস্বাদু এবং দাম ছিল বেশ সাশ্রয়ী।"
Hobbies,Photography,Camera accessories,Light box,Smiledrive,"portable, wide application, filter harmful lighting, material, lighting","Portable, Filter harmful lighting",Positive,"একত্রিত করা সহজ পিছনের শীট ভাল, আলো ভাল এবং তীব্রতা সামঞ্জস্যযোগ্য।"
Pets,Dogs,Supplies,Collars,Agirav,"leather/nylon, half chain half choker, design, waterproof, adjustable, metal buckle","Buckel, Adjustable",Negative,কলারের ক্লিপটি ভাল নয় এবং যদি কুকুরটি লেজ ধরে টান দেয় তবে তা খুলে যায়। বাকল ক্লিপ এবং দৈর্ঘ্য সামঞ্জস্য করার জন্য স্লাইডার সহজেই বিরতি।
Transportation,Air,Flights,International,United,"luggage allowance, affordable rates, luxury, food, travel insurance, safety, customer service",Rates Food,Negative,তুলনায় রেট বেশি।
Entertainment,Movies,Genres,Horror/Thriller,Oxygen,"intriguing, spooky rhythm, camera angles, haunting, terrific story-telling, unpredictable climax, dark effect, eerie-filled, spine-chilling",eerie-filled,Positive,"গল্পের গ্রিপিং এবং একটি ক্লিফহ্যাঙ্গার; আপনার শ্বাস কষ্টের কারণ হয়ে উঠবে। প্রাণঘাতী করোনাভাইরাসের এই সময়ে, এটি ভয়ানক যে একটি প্রাণঘাতী ভাইরাস এই গল্পে উল্লেখযোগ্যভাবে উঠে এসেছে।"
Entertainment,Movies,Genres,Musical,Gully Boy,"fresh, singers, excellent compositions, melody, classical, lyrics, hiphop, sufi, musical genius, inspiring, tuneful, heartwarming","Inspiring, lyrics",Positive,"কী অসামান্য ভারতীয় মিউজিক্যাল ড্রামা ফিল্ম, দারুণভাবে লিখেছেন জোয়া আখতার! সিনেমাটি বাস্তবসম্মত, আবেগপূর্ণ এবং অনুপ্রেরণামূলক গল্প এবং এতে ডিভাইনের অসাধারণ সাউন্ডট্র্যাক রয়েছে"
Education,Books,Children's book,Easy learning,My first Library,"activity oriented, educational development (plant/animals/numbers and counting/human body), Quality, Cost/Price",Activity oriented,Negative,যদি আপনি একটি কার্যকলাপ ভিত্তিক বই খুঁজছেন তাহলে এই বইটির সুপারিশ আমি করবো না। বইটিতে আপনার বাচ্চার জন্য একক কার্যকলাপ নেই।
Transportation,Surface,Railways,Metro,Nagpur metro,"Cleanliness, safety, time saving, affordable, well-maintained, voice instructions in multiple languages",Cleanliness voice instructions,Negative,ইংরেজিতে ঘন ঘন অ্যানাউন্সমেন্ট প্রয়োজন
Transportation,Air,Flights,Domestic,Indigo,"Cleanliness, hassle-free booking, safety, punctuality, luggage allowance, insurance, zero cancellation fees, affordable rates",Hassle free booking Luggage allowance,Negative,"""আপনি হাফ কিলো অতিরিক্ত বহন করেন, আপনি এটির জন্য অর্থ প্রদান করেন, কারণ তারা এর জন্য কোন নমনীয়তা দেখায় না।"""
Health/Wellness,Living,Stay/ Experience,Homestay,LalBari - Red Brick Heritage House (Kolkata),"Friendly hosts, homely food, ambience, calm and serene, location, safety, TV, AC/non AC, wifi, parking, affordable rates","Food, affordabe rates",Negative,চার্জ একটি হোটেলের সমতুল্য কিন্তু সুযোগ সুবিধা এবং পরিষেবা খুব একটা ভালো নয়; তারা যে খাবার অফার করে তা খুবই সাধারণ থালি যার জন্য তারা ₹500 পর্যন্ত দাম চায়। তারা আরও দাবি করেন দর্শনার্থীদের নিজেদের ঘর নিজেই পরিষ্কার করতে হবে।
Education,Books,Children's book,Bed-time stories,The Dedication of Ekalavya,"fantasy, mythological, fairy tales, simple language, Content (Difference of opinion on the content)",Simple language,Negative,"লেখাটা এতটাই কঠিন যে বাচ্চাদের পড়ার যোগ্য নয়। লেখক যদি সহজ ভাষায় লিখতেন, তা হলে শিশুদের কাছে তা আরও আকর্ষণীয় ও সহজবোধ্য হত।"
Hobbies,Music,Instruments,"Guitars, basses and gears",Pluto HW39-201P Electro Acoustic Guitar - Rosewood Fretboard,"neck profile, fretboard's radius, tuner holes, neck heel width and mounting, harmonics and tone, classical/electric/acoustic/bass guitar",Acoustic Guitar,Negative,"এটি উন্নত খেলোয়াড়দের জন্য মোটেই নয়, অসন্তুষ্টপূর্ণ।"
Pets,Dogs,Food,Wet food,Purina Moist & Meaty,"balanced, nutritious, yummy, strong bones and teeth, immunity booster, heathier and shiner coat, strong muscles","Complete & Balanced Nutrition, moist & meaty soft dog food, support muscle strength.",Negative,কুকুররা এর গন্ধ শুকলে খেতে অস্বীকার করে। কেমিক্যালের গন্ধ এত বেশি। এতে কুকুরের পেটে বাজে প্রভাব পড়ে।
Pets,Dogs,Grooming,Dematting tool,Wahl,"all-in-one tool, 2-in-one dual head, safe,",Size,Negative,"ছবিতে যতটা বড় দেখাচ্ছে, ততটা বড় নয়। শুধু ছোট কুকুরের জন্য উপযুক্ত।"
Pets,Dogs,Supplies,Dog beds,CHAMPETS,"soft, comfortable, reversible, washable, waterproof, breathable, cooling, polyester fabric","Uncomfortable, not waterproof, not soft",Negative,কুকুরের বিছানাটা খুব পাতলা। নীচের অংশটি একটি সস্তা ওয়াইপেবল উপাদান এবং উপরের ফ্যাক্স পশমটি পাতলা এবং বিক্ষিপ্ত ছিল।
Entertainment,Apps,Social Media,Blogging/ Micro-blogging,Koo: Connect with People!,"professionally designed themes, turn your site into a store, find your fans, domains for anything, serious security",find your fans,Negative,আপনার মূল্যবান বোধ হওয়ার কোন ধারণাই এখানে নেই। আপনাকে শুধুমাত্র সামাজিকভাবে স্বীকৃত ব্যক্তিদের ফলো করার অনুমতি দেওয়া হয়েছে কিন্তু এখানে আপনাকে কেউ ফলো করতে পারবে না।
Health/Wellness,Living,Stay/ Experience,Resorts,Ganga Kutir (Raichak),"Swimming pool, fitness center, parking, wifi, bar, laundry service, games, air conditioning, banquet/dining hall, various cuisines, family friendly","Family friendly, swimming pool, various cuisines, wifi, bar",Positive,"অনেক ঘর আছে, গঙ্গা নদীর মুখোমুখি, পরিবার ও বন্ধুদের জন্য এটি একটি অসাধারণ সপ্তাহান্ত বা সপ্তাহব্যাপী পলায়ন, যেখানে সুইমিং পুল সামগ্রিক শান্ত ও শান্ত স্থানের সৌন্দর্য বৃদ্ধি করে, নিজেকে সতেজ ও তরতাজা করার জন্য একদম ঠিক নিজেকে শহর-জীবনের ঝঞ্ঝাট থেকে সামান্য সরিয়ে দেওয়া। সোনার তরী যে থালিগুলি সরবরাহ করে তা অর্থের জন্য উপযুক্ত মূল্য হিসাবে প্রদত্ত পরিমাণের সাথে সুস্বাদু এবং দুর্দান্ত; ওয়াইফাই ভালো এবং বারও সুন্দর এবং আরামদায়ক।"
Education,Books,Children's book,Story books,Tinku's Summer Adventure,"moral stories, stories with colourful pictures, simple language, illustrations to add fun, Price","Illustrations to add fun, Stories with colourful pictures.",Negative,আমার বাচ্চা বইটির কয়েকটি পেজ পড়ে রেখে দিয়েছে। মজা করার জন্য কোন বিশেষ চিত্র যোগ করা হয় না। এমনকি রঙিন ছবি ও চিত্রাঙ্কনসহ গল্পের অভাবে পড়তে পড়তে ঘুমিয়ে পড়েছিলাম।
Pets,Dogs,Health supplements:,Dental care,Goofy Tails,"plaque removal, fresh breath, chewy teeth cleaner,",Unhealthy,Negative,এই স্প্রে ব্যবহার করার পরে পোষা প্রাণীটি প্রবলভাবে কাঁপতে শুরু করে।
Home,Appliances,Air-condition,Central AC,Videocon,"combined evaporator, condenser, and compressor, capacity, coil material, wifi",Coil material,Positive,এই এসিতে তামার কয়েল আছে যা অ্যালুমিনিয়ামের তুলনায় অনেক বেশি কার্যকর।
Pets,Dogs,Grooming,Deodorizers,Pet Life,"ayurvedic, scent, fresh, vet recommended",treats skin infection and itchiness,Positive,এটি ত্বকের ইনফেকশনের চিকিৎসা করে এবং চুলকানি ও চুলকানি থেকে তাৎক্ষণিক মুক্তি দেয়।
Hobbies,Photography,Camera accessories,Filters,Hoya Filter Digital UX CIR-PL PHL,"infrared, skylight/UV, polarizing, thread size, coating, diameter, material","Skylight/ UV, thread size",Positive,49মিমি থ্রেডের আকার এবং সঙ্গে থাকছে নতুন ইউএক্সইউভি ফিল্টার।
Entertainment,Apps,Social Media,Social networking,Facebook,"find friends, share photos and moments, free messaging, daily status, video calling",Video calling,Negative,"ভিডিও কলিং ব্যবহারের জন্য তারা আপনাকে থিয়ার মেসেঞ্জার ইনস্টল করতে বলবে। সুতরাং মূলত একটি সোশ্যাল মিডিয়ার জন্য আপনার 2টি ভিন্ন ভিন্ন অ্যাপ ব্যবহার করতে হবে, এটা কি বিরক্তিকর নয়?"
Home,Appliances,Fan,Exhaust fan,Polycab,"remove moisture/unpleasant odour, air delivery speed, rust proof body and blade, front shutter, Blade strength",Rust proof body,Positive,এর এক্সস্ট্যাগ ফ্যান উচ্চ মানের প্লাস্টিকের প্রলেপ রয়েছে গুলিতে। এটি ব্লেডকে ধুলো ও মরচে থেকে রক্ষা করে।
Pets,Dogs,Supplies,Dog carriers,AmazonBasics,"hard sided/soft sided, two door top load, portable folding, airlines approved, breathable mesh panel",not easy to transport,Negative,সহজে বহন করা যায় না।
Hobbies,Music,Instruments,"synthesizers, samplers and digital instruments",JUAREZ Octavé JRK661 61-Key synthesizer,"range and versatility of sound, filter, sample types, modulation, scale types, memory, effect, sequencer, amp/envelope generator",,Positive,"তারা কী স্টিকারের মতো একজন নতুন শিক্ষানবীশের জন্য প্রয়োজনীয় সব সুযোগ-সুবিধা প্রদান করে, সহজে খেলতে পারে।"
Hobbies,Photography,Camera accessories,Tripod,Tygot,"light weight, adjustable height, multi level locking and steady rubberized legs, multipurpose head, cellphone holder, level indicator","multipurpose head, light weight, cell phone holder",Positive,"ক্যামেরা রোটেটর হেড সহ অ্যালুমিনিয়াম অ্যালয় স্ট্যান্ড, সমস্ত ধরণের ক্যামেরা এবং সেল ফোনের সাথে তা সামঞ্জস্যপূর্ণ। এটির সঙ্গে থাকছে প্যান-টিল্ট-সুইভেল হেড।"
Fashion,Beauty,Fragrance,Roll-on,Good Vibes Vitamin C Glow Deo roll on,"alcohol free, skin whitening, odour control, long lasting, fresh and active","Alcohol free, paraben free, sulfate free",Positive,"এই রোল-অনের নতুন ব্যবহারকারী হিসেবে এর গুণগত মান ও সতেজতা দেখে আমি বিস্মিত। অন্যান্য অনেক উপলব্ধ বিকল্পগুলির মধ্যে, এটি কেবল অ্যালকোহল ফ্রিই নয়, প্যারাবেন এবং সালফেট ফ্রিই। এই প্রোডাক্টটি দারুণ উপভোগ করছি।"
Health/Wellness,Living,Stay/ Experience,Resorts,Vedic Village Spa Resort (Kolkata),"Swimming pool, fitness center, parking, wifi, bar, laundry service, games, air conditioning, banquet/dining hall, various cuisines, family friendly","Swimming pool, family friendly, games, various cuisines",Positive,"সুইমিং পুলটি সব বয়সের মানুষের জন্য উপযুক্ত এবং পরিবার এবং বন্ধুদের সাথে একটি নিখুঁত দিন বা সপ্তাহান্তের বেড়ানোর জন্য খুব ভালভাবে রক্ষণাবেক্ষণ করা হয়, সঙ্গে টেবিল টেনিস, বিলিয়ার্ড, ক্যারমের মতো খেলাধুলা এবং অন্যান্য বাইরের কাজকর্ম আপনাকে সারাদিন ব্যস্ত রাখার জন্য যথেষ্ট। খাবারটি অত্যন্ত সুস্বাদু পাশাপাশি নিখুঁতভাবে রান্না করা বিভিন্ন রান্না 5 বা 7 তারা হোটেলের খাবারের অভিজ্ঞতার কথা স্মরণ করিয়ে দেয়।"
Home,Appliances,Fan,Pedestal fan,Oceco,"tall, oscillation feature, sweep size, air delivery speed, no of blades",Oscillation feature,Negative,এর পেডেস্টাল ফ্যানগুলিতে শুধুমাত্র 160-ডিগ্রি দোলন প্রদান করে। বৃহৎ এলাকার জন্য পেডেস্টাল ফ্যান ব্যবহার করা হয় এবং এই বৈশিষ্ট্যটি তাদের কর্মক্ষমতাকে ব্যাপকভাবে সীমাবদ্ধ করে।
Education,Books,Audiobooks,Duet narration,Google Play Books,"voice, acting, modulation, pitch, sound quality, SYNCHRONIZATION, Synchronization(offline availibility)",Sound quality,Negative,সবচেয়ে খারাপ সাউন্ড কোয়ালিটি। প্রচুর ব্যাকগ্রাউন্ডের শব্দে আগ্রহ নষ্ট হয়।
Entertainment,Movies,Genres,Animation,Luca,"gorgeous visuals, stunning backdrop, interesting characters, visual treat, fairy tale, amazing",Visual treat,Negative,"অত্যন্ত সাধারণ অ্যানিমেশন। কোন ভিজ্যুয়াল ট্রিট বা সিনারি নেই, শুধু একটি সাধারণ বাচ্চাদের মুভি।"
Home,Appliances,Air-condition,Inverter AC,Godrej,"AI Dual Inverter, AI Convertible 6-in-1 cooling, HD Filter with Anti-Virus Protection, auto clean, capacity, coil material, wifi",AI Convertible 6-in-1 cooling,Negative,গোদরেজ ইনভার্টার এসিতে রয়েছে কনভার্টিবল 6 ইন 1 কুলিং যা এআই নিয়ন্ত্রিত। কুলিং ক্যাপাসিটি বেশ ভালো হলেও এআই ইন্টারফেস ল্যাগ হয়ে পারফরমেন্সকে খারাপ করে দেয়।
Education,Books,Children's book,Bed-time stories,The Dedication of Ekalavya,"fantasy, mythological, fairy tales, simple language, Content (Difference of opinion on the content)",Mythological,Positive,"এই ধরনের পৌরাণিক বইয়ের কারণে শিশুরা আমাদের সংস্কৃতির সম্পর্কে অবগত হয়। কঠোর পরিশ্রম, শ্রদ্ধা এবং উৎসর্গ সম্পর্কে শেখার জন্য আপনার বাচ্চাদের জন্য সেরা বই, বিশেষ করে শিক্ষক এবং প্রশিক্ষকদের জন্য।"
Education,Books,Children's book,Painting,"Drawing & Painting Course (With Cd): Learn How to Draw Lines, Sketches, Figures","figure drwaing, colouring book, adorable designs, bold thick outlines, Cost/Price, Quality",Adorable designs,Negative,"বইটি ঠিকঠাক ছিল (ছোট বাচ্চাদের জন্য খুব কঠিন) এবং ভিসিডি মোটেও কাজ করেনি। এটিতে আকর্ষণীয় নকশা নেই, ফলে এটি শিশুদের আকৃষ্ট করে না।"
Home,Appliances,Air-condition,Window AC,Godrej,"copper condenser, dust filter, capacity, coil material, evaporator",Dust Filter,Negative,ডাস্ট ফিল্টারটি এতটাই নিম্নমানের যে দেখতে তারের জালের মতো। এই ধরনের মহামারীর সময়ে এটি একটি নেতিবাচক ফ্যাক্টর।
Entertainment,Apps,Social Media,Blogging/ Micro-blogging,Tumblr,"professionally designed themes, turn your site into a store, find your fans, domains for anything, serious security",Domains for anything,Negative,"টাম্বলার ট্যাগ আপনাকে যেকোনো ডোমেইনের পোস্ট খুঁজে পেতে বা পোস্ট করার অনুমতি দেয়, কিন্তু আমি যখন ট্যাগ টাইপ করি, তখন অক্ষরগুলি স্টিক হয়ে যায় এবং এটি আমাকে খুব হতাশ করে।"
Entertainment,Apps,Social Media,Social networking,Twitter,"find friends, share photos and moments, free messaging, daily status, video calling",free messaging,Negative,"নতুন আপডেটের পর থেকে অ্যাকাউন্টটি গ্লিচ খাচ্ছে। চ্যাট লোড করা যাচ্ছে না, শুধু তাই নয় কিছু ফন্ট গিবারিশ আউটপুটটি সমর্থন করে না।"
Home,Appliances,Inverter,Modified square wave,Su-Kam,"most of the equipments, less efficient, more affordable, noise, not supporting some devices, Cost-efficient for small homes",Affordability,Positive,"সবচেয়ে সাশ্রয়ী!!! বাজারের মধ্যে। প্রথমত, পরিবর্তিত স্কোয়ারে ওয়েভ ইনভার্টারগুলি অন্যদের তুলনায় সস্তা, এবং সেই সাথে সু-কাম বোঝা আরও কমিয়েছে।"
Home,Appliances,Air cooler,Personal air cooler,Havells,"compact, portable, less energy, less noise, caster wheels, cool tank capacity, controller type, noise level",compact,Negative,"এই এয়ার কুলারে বাইরের বডির ডিজাইন অদ্ভুত। যদিও ট্যাঙ্কটি মাত্র 10 লিটারের। ক্ষমতা বাক্সটি প্রায় 3 ফুট জায়গা নেয়, যা একটি ব্যক্তিগত কুলারের জন্য অপ্রয়োজনীয়।"
Vehicles,Automotives,Bikes,Commuter,TVS,"popular, young generation, fuel efficiency,","Big customer base, Affordability and Issues like the engine lacking power and refinement and features like tubeless tyres and front disc brake",Negative,"টিভিএস স্পোর্ট মডেলের জন্য, ইঞ্জিনে শক্তি এবং পরিশোধনের অভাব ছিল এবং কিছু ক্রেতাদের মতে টিউবলেস টায়ার এবং ফ্রন্ট ডিস্ক ব্রেকের মতো বৈশিষ্ট্যগুলির অভাব ছিল।"
Entertainment,Movies,Genres,Science-fiction,Krish,"superhero, masterpiece, amazing, genius, settings and visual effects, intriguing, phenomenal, stupenduous characters",Settings and visual effects,Negative,"বলিউড থেকে এইটাই প্রত্যাশিত ছিল, অত্যন্ত হতাশাজনক সিনেমা। ভিএফএক্সের কাজ আমার প্রত্যাশার চেয়ে একটু বেশিই খারাপ ছিল।"
Hobbies,Photography,Camera accessories,Filters,Amazon Basics,"infrared, skylight/UV, polarizing, thread size, coating, diameter, material","polarizing, coating, diameter",Positive,এটি একটি বৃত্তাকার পোলারাইজার এবং 55এমএম ব্যাস বিশিষ্ট বহু প্রলেপযুক্ত।
Pets,Dogs,Supplies,Dog apparels,KUTKUT,"dress/shirt, soft breathable material, half sleeves/sleeveless, pet comfortable raincoat with detachable hood","breathable, comfortable, lightweight, smooth",Positive,"স্যুটগুলি উচ্চ-মানের পলিকটন ফ্যাব্রিক দিয়ে তৈরি, যা নিঃশ্বাস নেওয়া, আরামদায়ক, হালকা ওজনের এবং মসৃণ।"
Pets,Dogs,Health supplements:,Vitamins,PALAMOUNTAINS,"healthy and lustrous coat, skin, calcium, paw tablet, digestive tablet, liver tonic, dewarming, antioxidants","omega 3, fatty acids, improves digestion, healthy and lustrous coat",Positive,"এটি ওমেগা 3 এবং 6 অপরিহার্য ফ্যাটি অ্যাসিডের একটি অনন্য মিশ্রণ। এটি একটি দ্বৈত সুবিধার পণ্য, এটি আপনার কুকুরের হজমশক্তিকে ব্যাপকভাবে উন্নত করে এবং এটি একটি স্বাস্থ্যকর এবং উজ্জ্বল কোট প্রদান করে।"
Baby Products,Baby,Clothing,Kurta set,FabIndia,"cotton/synthetic/polyester, printed/colourful","cotton, synthetic",Positive,সাধারণত ফ্যাব ইন্ডিয়াতে রং-এর বিকল্প বেশি নেই কিন্তু এদের কালেকশনের সাইজগুলো পারফেক্ট এবং ফ্যাব্রিকগুলি খুব নরম সুতির হয়।
Entertainment,Movies,Genres,Horror/Thriller,The Grudge,"intriguing, spooky rhythm, camera angles, haunting, terrific story-telling, unpredictable climax, dark effect, eerie-filled, spine-chilling","Intriguing, eerie-filled",Positive,"আমার মনে হয়, এর মধ্যে অনেক ক্লাসিক কৌতূহলী দিক ছিল। সিনেমাটির জাম্প সিন, ভয়ঙ্কর মিউজিক আমার খুব ভালো লেগেছে।"
Baby Products,Baby,Clothing,Bodysuit,Mother Care,"cotton/syhthetic, comfortable, soft and natural fabric","soft, cotton, comfortable",Negative,সাইজগুলো বেশ অদ্ভুত। আমি 3-6 মাস বয়সী বাচ্চার জন্য অর্ডার দিয়েছি কিন্তু এটা আমার 2 মাসের বাচ্চারই ফিট হয়ে না। এটা মোটেই আরামদায়ক নয়।
Entertainment,Apps,Social Media,Media sharing and bookmarking networks,Twitter,"share photos, videos, moments; discover recipes, home ideas, style inspiration and other ideas to try","share photos, videos, moments",Negative,"আমি জানি না তারা কোন অ্যালগরিদম ব্যবহার করে, কিন্তু অনেক সময় আপনার শেয়ার করা ছবি, ভিডিও বোট এক্টিভিটি এর নাম সরিয়ে ফেলা হয়।"
Entertainment,Movies,Genres,Romantic,Love Ni Bhavai,"love story, performance, chemistry, emotional, heart touching storyline, plot twists",Storyline and Performances,Positive,"গোটা ছবিতে গল্পটি ভালোভাবে টানা হয়েছে এবং ছবির অগ্রগতির সঙ্গে সঙ্গে আপনি মালহার ঠক্কর এবং আরোহী প্যাটেলের প্রেমের কেমেস্ট্রি দেখে আপনি নিজে প্রেমে পরে যাবেন। বেশিরভাগ বলিউড সিনেমার থেকে আলাদা নাটকীয় প্লট বা ভয়ানক সমাপ্তিসহ, লাভ নি ভাবাই-এর একটি দুর্দান্ত ক্লাইম্যাক্স রয়েছে এবং যা এই সিনেমাটিকে একটি অনন্য ছবি তৈরি করে।"
Entertainment,Movies,Genres,Family Drama,Helicopter Eela ,"entertaining, family values, relatable characters, story-line, star cast, melodrama, enjoyable","story-line,Melodrama",Negative,মেলোড্রামাটিক করার ব্যর্থ প্রচেষ্টার সাথে মা-ছেলের একটি সাধারণ গল্প।
Health/Wellness,Living,Stay/ Experience,Homestay,Golden Sunview Homestay (Mirik),"Friendly hosts, homely food, ambience, calm and serene, location, safety, TV, AC/non AC, wifi, parking, affordable rates",Location,Negative,খুব খাড়া রাস্তার বাঁকে হোমস্টের অবস্থান খুবই গুরুত্বপূর্ণ। এছাড়াও আপনাকে হোমস্টেতে পৌঁছানোর জন্য একটি ত্রিশ ষ্টেপের সিঁড়ি বেয়ে উঠতে হবে যা বয়স্ক ব্যক্তিদের (বিশেষ করে প্রবীণ নাগরিকদের) পক্ষে অর্জন করা অসম্ভব।
Entertainment,Amusement,Parks,For public visit,PMC Public Garden,"entry price, various attractions and rides, food, greenary,Developmental activity,maintenance",developmental activity,Negative,সংস্কারের কাজ চলছে কিন্তু খুব ধীর গতিতে। জগিং ট্র্যাকে কিছু প্যাচ-ওয়ার্ক করার প্রয়োজন রয়েছে।
Home,Appliances,Fan,Exhaust fan,Anchor cool air,"remove moisture/unpleasant odour, air delivery speed, rust proof body and blade, front shutter, Blade strength",Rust proof body,Negative,"আমার মনে হয়, অ্যাঙ্কর কুল এয়ারের এক্সজস্ট ফ্যানগুলো জং প্রতিরোধী করা উচিত। এর স্বাভাবিক আবরণের কারণে, ব্লেডগুলি বারবার ক্ষতিগ্রস্ত হয়।"
Fashion,Beauty,Fragrance,Deodorants for men,Nivea Fresh Original Active Deo,"no gas deo, odour control, long lasting, fresh and active",Long lasting,Negative,"এটি এক ঘন্টার বেশি স্থায়ী হয় না। যেহেতু তাদের করা দাবিগুলো খুব একটা পুরো হয় না, তাই আমি এটা কেনার সুপারিশ করবো না!!"
Fashion,Beauty,Fragrance,Deodorants for men,Park Avenue Good Morning Body Deodorant for Men,"no gas deo, odour control, long lasting, fresh and active",Duplicate product,Negative,মনে হচ্ছে বাজারে এই ডিওডোরেন্টের প্রচুর ডুপ্লিকেট পাওয়া যায়। আমি এটির একটি বোতল কিনেছিলম যা অর্ধেক খালি বোতলে এসেছিল এবং সিল অর্ধেক ভাঙা ছিল।
Hobbies,Photography,Camera accessories,Lens case,Digicare,"thick material for protection, hook, compatibility, sizing, water resistant","hook, sizing, water resistant",Positive,"থলিটি হুকের সাথে আসে এবং 10 সেমি থেকে 22 সেমি উচ্চতা পর্যন্ত সমস্ত লেন্সের আকারের জন্যও মাপটি দুর্দান্ত, এছাড়াও এটি জল প্রতিরোধী।"
Hobbies,Music,Audio Output,headphones,boat airdopes 142,"on-ear, in-ear, wired, bluetooth, earbuds, noise-cancelling, bass, fast charging, battery, with or without mic, water-resistant.",Bass,Negative,বেসের মাত্রা সন্তোষজনক নয়
Hobbies,Photography,Camera accessories,Lens case,Yantralay School of Gadgets,"thick material for protection, hook, compatibility, sizing, water resistant","thick material for protection, hook",Positive,ব্যবহৃত উপকরণগুলি পুরু এবং বক্রতা থেকে লেন্সকে রক্ষা করার জন্য বাইরে থেকে নিওপ্রিন আস্তরণের সাথে আসে এবং তাতে হুকও উপস্থিত থাকে।
Hobbies,Music,Instruments,"Guitars, basses and gears",Henrix PRO 38 Inch 6 String Cutaway Acoustic Guitar,"neck profile, fretboard's radius, tuner holes, neck heel width and mounting, harmonics and tone, classical/electric/acoustic/bass guitar",Acoustic Guitar,Negative,এই গিটারটি টিউন করা মোটেও সহজ নয় এবং ওয়্যারিংও তেমন ভালো নয়।
Fashion,Beauty,Fragrance,Perfume,"Calvin Klein, Unisex One Eau De Toilette","unisex/men/women, long lasting smell",Duplicate product,Negative,"ড্যামেজ প্রোডাক্ট পেয়েছিলাম, প্রোডাক্টির ঢাকনা ভাঙা ছিল। মনে হচ্ছে, সিকে-র ব্র্যান্ডের ডুপ্লিকেট কপি এখন বাজারে এসেছে।"
Entertainment,Apps,Social Media,Discussion forums,Community Forums - Journalcy,"listen in, share your thoughts, host discussions, debate on political, social, current affairs and other matters of interest","debate on political, social, current affairs and other matters of interest",Negative,প্রায়শই কোনও স্পষ্ট দিকনির্দেশনা থাকে না। সব সময় পরিস্থিতি নিয়ন্ত্রণে থাকে না। অনলাইন ফোরামে গুণগত মানের অভাব রয়েছে।
Home,Appliances,Fan,Exhaust fan,Eveready,"remove moisture/unpleasant odour, air delivery speed, rust proof body and blade, front shutter, Blade strength",Remove moisture or odour,Positive,আমি সম্প্রতি বাথরুমের জন্য ইভরেডির এগ্জস্ট ফ্যান কিনেছি যা আর্দ্রতা ও গন্ধ দূর করতে খুবই কার্যকর। ছোট জানালা সহ হোস্টেল কক্ষগুলির এটি একটি প্রধান বৈশিষ্ট্য।
Food,Grocery,"Flours , food grains, dals and pulses",whole wheat atta,Fortune Chakki Fresh,"chakki atta, no additives, fiber rich","Chakki atta, Fiber-rich",Negative,ফাইবার সমৃদ্ধ আটা অপশনের ক্ষেত্রে ফরচুন চাকি ফ্রেশ আটাই শেষ অপশন হওয়া উচিত।
Pets,Dogs,Grooming,Deodorizers,Boltz,"ayurvedic, scent, fresh, vet recommended","masks odour, long lasting",Positive,এটি প্রাণীর গন্ধকে পুরোপুরি ঢেকে রাখে এবং দীর্ঘস্থায়ী হয়।
Home,Appliances,Home theater,Multimedia players,Creto XN,"bluetooth/dolby/voice control, speaker connectivity, audio output mode, speaker feature",Dolby output,Positive,"প্রদান করে, যা দেশীয় ব্র্যান্ডগুলিতে একটি বিরল বৈশিষ্ট্য। ডলবির চারপাশের প্রভাবের সাথে সাউন্ড আউটপুট এবং বেস অসাধারণ।"
Entertainment,Movies,Genres,Animation,Despicable Me 3,"gorgeous visuals, stunning backdrop, interesting characters, visual treat, fairy tale, amazing","Visual treat, stunning backdrop",Negative,"আমি এই মুভিটি সুপারিশ করবো না কারণ এতে অসাধারণ কিছুই নেই। কোনো ভিজ্যুয়াল অ্যাভেনেস নেই, কোন সিন নেই এবং মোটামুটি ব্যাকড্রপ মুভি।"
